string	string	string	string	string	string
BuyFBCntCost	{"31080":"50","31140":"20","52010":"20+((hasBuyCnt-1@0)!1)*10+((hasBuyCnt-3@0)!1)*10+((hasBuyCnt-5@0)!1)*10+((hasBuyCnt-7@0)!1)*10+((hasBuyCnt-9@0)!1)*20","31190":"30+hasBuyCnt*10"}				
DropRecordValue	3802|983|982|3803|3804|9051|9062|3805|3806|9073|9074|9075|9077|9078				
PKText	0_不能攻击任何人|1_可以攻击任何人|5_不能攻击队友和盟友|2_不能攻击同服玩家				
KillBossCntLimit	{(10403001,10503001,10603001,10703001,10803001,20103001,20103002,20103003,20103004,20103005,20103006,20103007,20203001,20203002,20203003,20203004,20203005,20203006,20203007):0,(30303001,30303002,30303003,30303004,30303005,30303006,30303007,30303008,30303009,30303010,30303011,30303012):1}	0_3|1_0	{0:'WB_Limit',1:'BossHome_Limit'}	{1:27}	{0:[21,'WorldBossNoHarm']}
FamilyInvadeCfg	[180,1500,10,31170, [84,85,86,87], [101,31704003], {102:31704002,103:31704001}]	{1:0.5,3:0.6,4:0.8,5:1}	(48000*reExp*starPer*(passWheel/8.0!1)#)	[21010,21011]	[31704001,31704002,31704003]
MuneKadoTrialBossHead	{"31003001":"TraiHead1"}				
MunekadoMapID	60010|60020|60030|60040|60050|60060				
MunekadoLockLimit	5				
SingleIntoFB	160				
PetRandomSpeak	20				
ElderBattlefieldMapID	31160				
MoneyDisplayModel	3_2102|2_2104|1_2105|15_3903|16_2109|23_2106|14_4307|6_3902	2103	0	0	0
RoleNameLength	15				
RandomJob	40|100|0				
TransportPay	954	1			
ItemPush	1|2|3|4|5|8|10|13|20|21|22|23|25|26|27|28|29|41|76|58|80|81|83|58				
AutoOnHookMap	10010|10020|10030|10040|10050|10060|10070|10080				
DialoguesTime	4	4			
SpRewardMapID	51010				
GuardFBCageNPCID	32502001	32504001	3		
AutoRideHorseTime	20000				
SealDemonNewbieLine	0|1|2				
DemonJarFirstRemin	200	8			
DemonJarRedPoint	90				
DemonJarLevelLimit	179				
TreasureOpen	102000				
TreasureExitLimit	100				
PropertyIcon	{"6":"XT_FB_TB5","7":"XT_FB_TB4"}				
TreasureGetVipLv	302_1|303_3|304_6				
DiceReward	{"0":{"exp":"180*reExp","gold":0,"item":[2211,0]},"1":{"exp":"360*reExp","gold":0,"item":[2211,0]},"2":{"exp":"360*reExp","gold":100000,"item":[2211,1]},"3":{"exp":"360*reExp","gold":100000,"item":[2211,2]},"4":{"exp":"360*reExp","gold":500000,"item":[2211,3]},"5":{"exp":"360*reExp","gold":500000,"item":[2211,4]},"6":{"exp":"720*reExp","gold":1000000,"item":[2211,8]}}				
DiceFreeNum	5				
StoryTaskIcon	1|2	Body_N000|Body_N997			
TJG	((((((aMinAtk+aMaxAtk)/2.0*(1-aLuckyHitRate/10000.0+aLuckyHitRate/10000.0*(1.2+aLuckyHit/10000.0))+aSuperHitRate*aSuperHit/10000.0+aIceAtk)*(1+aDamagePer/10000.0)*(attackEff/10000.0)/(npcMaxHP*1.0)!1)*2.8*0.320833333333333+(((aMinAtk+aMaxAtk)/2.0*(1-aLuckyHitRate/10000.0+aLuckyHitRate/10000.0*(1.2+aLuckyHit/10000.0))+aSuperHitRate*aSuperHit/10000.0+aIceAtk)*(1+aDamagePer/10000.0)*(150000/10000.0)/(npcMaxHP*1.0)!1)*15*0.0166666666666667+skill2*(((aMinAtk+aMaxAtk)/2.0*(1-aLuckyHitRate/10000.0+aLuckyHitRate/10000.0*(1.2+aLuckyHit/10000.0))+aSuperHitRate*aSuperHit/10000.0+aIceAtk)*(1+aDamagePer/10000.0)*(50000/10000.0)/(npcMaxHP*1.0)!1)*2.1*0.041667+((((aMinAtk+aMaxAtk)/2.0*(1-aLuckyHitRate/10000.0+aLuckyHitRate/10000.0*(1.2+aLuckyHit/10000.0))+aSuperHitRate*aSuperHit/10000.0+aIceAtk)*(1+aDamagePer/10000.0)*(10000.0/10000.0)+(petMinAtk+petMaxAtk)/2.0*(1+petDamPer/10000.0)*(petSkillPer/10000.0+PetSkill1*0.1+PetSkill2*0.15+PetSkill3*0.15+PetSkill4*0.2+PetSkill5*0.2+PetSkill6*0.2+PetSkill7*0.25))/(npcMaxHP*1.0)!0.78)*2.09*(60*(atkSpeed/10000&)-(4+60/8+60/12+60/16+60/20))/60*1)+(((petMinAtk+petMaxAtk)/2.0*(1+petDamPer/10000.0)*(petSkillPer/10000.0+PetSkill1*0.1+PetSkill2*0.15+PetSkill3*0.15+PetSkill4*0.2+PetSkill5*0.2+PetSkill6*0.2+PetSkill7*0.25)/(npcMaxHP*1.0)!1)-0.5@0)*0.47*(atkSpeed/10000&)!5*(atkSpeed/10000.0&))*npcExp+(0.1*aFightPower/(aReFightPower*2+aFightPower))*npcExp#)*times	300	72000	{1:[50900, 50902],2:[55900,55902]}	48215|48235|48245|48260|48275|48320|48290
TJGLevelLimit	90				
ItemTimeOut	{"4101":[4101,380,688],"4102":[4102,288,0],"4105":[4101,380,688]}				
ItemRepayButton	4101|4102|4105				
GuardianOverDueImg	4101_LongImg|4102_FengImg|4105_LongImg				
OutOfPrintValue	(maxOOPValue*(1!(0.001+0.05*(lv/350.0)+0.1*((lv/350.0)^2)+0.15*((lv/350.0)^3)+0.699*((lv/350.0)^4)))#)				
GuideConfig	0	180			
PreFight_Skill1_HpPer	9900				
PreFight_Skill2_HpPer	98				
PreFight_Skill3_HpPer	9800				
PreFight_Fabao_HpPer	9700	5000			
PreFight_Finish_HpPer	2500				
PreFight_Fabao	1300				
DogzAssist	3	{"3511":2}			
DogzPack	100				
XMZZBetCfg	{}				
XMZZAward	{"3":[[104,1,1]],"6":[[104,2,1]],"9":[[104,3,1]],"12":[[105,1,1]],"15":[[105,1,1]]}	[[56,1,1]]	[[105,2,1],[992,1,1]]	[[105,1,1],[993,1,1]]	500
XMZZRobot	[30403002,30403003]	30403001			
BuyItemHinit	3				
SpecialCollectNpcs	10000				
PayRMB	10				
OSCBillRankTypePromote	{"2":[36,8],"1":[25,2,17],"3":[1,29],"4":[2,14,18,5],"5":[33],"6":[25,21,33,95]}				
OSCBillboardOpen	{"2":[15,1,2],"1":[200,3,3],"3":[30,4,4],"4":[200,5,5],"5":[6,6,6],"6":[1200000,7,7]}	10			
SevenOnlineReaward	7	3			
PetDanceInterval	8000				
AudioSound	0.5				
AllRoundSkills	48579|48580|48581|48582|48583|48584|48585|48586|48587|48588|48589|48590|48591|48592|48593|48594|48595|48596	7|9			
EarlierGetTreasure	101|102|103|104				
BossSound	5	3			
XpNoUseDungeon	0				
RandomWord	RandomWordA1|RandomWordA2|RandomWordA3|RandomWordA4|RandomWordA5	RandomWordB1|RandomWordB2|RandomWordB3|RandomWordB4|RandomWordB5			
InvestCost	{"1":[300],"2":[300],"3":[680,1280,1880]}				
InvestMaxDay	{"1":31,"2":28}				
VIPInvest	{"1":[1,280],"2":[281,350],"3":[351,1000]}	4			
GoldInvestLVLimit	300				
JadeInvest	2|3|5|8|10				
PassiveSkillShow	50902|50904|50905|50906|50907|50909|50911|50912|50913|55902|55904|55905|55906|55907|55909|55911|55912|55913|				
NpcPosOffset	{"30909005":[28.16,9.14],"30909002":[28.22,65.79],"30909004":[55.87,37.31],"30909001":[85.27,9.25],"30909003":[85.47,66.02]}				
TaskSortType	0|19|18|17|3|6|7|8|9|10|2|5|4|20|21|11|12	19|18|17|3|6|7|8|9|10|0|2|5|4|20|21|11|12			
LeagueTable	31210	Map121_Xmyh/Default/Xmyh_table_00			
OfflinePostItem	181|4151|4002|4003|4008|4009|4005|4006|951|956|4501|4502				
TreasureSet11	[1, 10]	[10, 880]	[1000, 1001]	[60, 0]	[10, 120]
TreasureSet21	(baseRate+curLuck/300.0*baseRate#)	[1, 12]	300		
TreasureSet12	[1, 10]	[10, 880]	[1003, 1004]	[60, 0]	[10, 120]
TreasureSet22	(baseRate+curLuck/300.0*baseRate#)	[1, 12]	300		
OpenServerRedPacketType	5				
OpenServerRedPacketCfg	3	10	3600	50	
OpenServerRedPacketRain	200				
RedEnvelopeVoiceCd	5000				
MaininterfaceAniTime	0|0.1|0.1|0.1|0.1|0.1|0.1				
GuideMission	101080|101120|102060|102100|102160|103030	103|104			
ItemMaskEffect	99999				
ItemEquipmentEffectItem	{"200":[3801,[4606,4615]],"1000":[[3802,3806],[4606,4610],[994,1006],[4184,4190],2320,5202,5206,181,4151,5207,5006,5007]}				
ItemEquipmentEffect	{"80":[1,2,0],"150":[2,3,1],"999":[3,4,2]}	{"60":[1,2,0],"80":[1,2,0]}	{"1000":[1,1,0]}		
IeemEquipmentEffectQuality	{"2":1134,"3":1133,"4":1131,"5":1132}				
BuffToHitEffect	10015	52002			
BuyItemPrice	956	10			
PotentialSkillLearn	{"50065":[15,47000],"50165":[15,47010],"50265":[15,47020],"1065":[15,47030],"50365":[15,47040],"50465":[15,47050],"50565":[15,47060],"50665":[15,47070],"50765":[15,47080],"50865":[15,47090],"55065":[15,47200],"55165":[15,47210],"55265":[15,47220],"2065":[15,47230],"55365":[15,47240],"55465":[15,47250],"55565":[15,47260],"55665":[15,47270],"55765":[15,47280],"55865":[15,47290]}				
FirstGold	{"1":[[6619,1,1],[221,1,1],[912,1,1],[4151,5,1],[3,1,1]],"2":[[6620,1,1],[221,1,1],[912,1,1],[4151,5,1],[3,1,1]]}	{"1":388,"2":388}	1800		
ChargeDelayTime	60				
FirstGoldTimeOut	130				
FirstGoldMobs	1_6619|2_6620				
FirstGoldTryItem	1_6621|2_6622	1_10331|2_20331	9	100	
VipGiftTreasureEffect	304				
FaBaoNPCID	10104008|10204002|10204011|10304004|10304014|10404012|10504008|10604004|10704002				
BossDelayTime	0				
IntroductionItem	181|4151	21001			
TreasureSkip	150	0.2			
EquipDevourCount	1	0			
EquipDecomposeAward	10	[4611,4612,4613,4614,4615]			
LoadLV	LoadingBackGround_1				
ModeDefault	mob/prefab_race_n015|Prefab_Race_N015	mob/prefab_race_m011|Prefab_Race_M011	mob/prefab_race_b_cw01|Prefab_Race_B_Cw01	mob/prefab_horse_zq00|Prefab_Horse_Zq00	
NpcHalfLength	(0.25,0.05,0)	(-2,-15,2)	0.77		
ElderBattleTarget	901|902|903|904|905|906|907|908|909|910|911|912	921|922|923|924|925|926|927|928|929|930			
MountPetDan	0|1000|2000|4000|6000|10000|14000|18000|24000|40000|150000|300000	1|1|2|3|4|6|8|12|16|20|40|60			
SpecialGuide41	103030	73			
FreeGoodsOpenTime	259200				
SupremeCTGVipLimit	5				
FirstPayRedPoint	160				
BossRebornTotalPoint	500|600|700|800	200|300|400|9999			
