int	int	int	int	int[]	string	int	string	string	int	int[]	int	int	string	string	int	int	int	int
801	30	30	1	1			0	0	0		0			【器灵试炼】</r> 击败<color=#009f3c>乾坤熊猫</color>	1	119	1	
802	30	30	1	2			0	0	0		0			【器灵试炼】</r> 击败<color=#009f3c>暗裔暴君</color>	1	119	2	
803	30	30	1	3			0	0	0		0			【器灵试炼】</r> 击败<color=#009f3c>龙血武姬</color>	1	119	3	
804	30	30	1	4			0	0	0		0			【器灵试炼】</r> 击败<color=#009f3c>执印龙王</color>	1	119	4	
805	30	30	1	5			0	0	0		0			【器灵试炼】</r> 击败<color=#009f3c>杏黄风术师</color>	1	119	5	
806	30	30	1	6			0	0	0		0			【器灵试炼】</r> 击败<color=#009f3c>东皇太一</color>	1	119	6	
807	30	30	1	7			0	0	0		0			【器灵试炼】</r> 击败<color=#009f3c>枯藤老人</color>	1	119	7	
808	30	30	1	8			0	0	0		0			【器灵试炼】</r> 击败<color=#009f3c>浴火麒麟</color>	1	119	8	
809	30	30	1	9			0	0	0		0			【器灵试炼】</r> 击败<color=#009f3c>刑天</color>	1	119	9	
816	3	3	1	101060			0	0	0		0			【主线】皓月枪	1	0	0	
817	3	3	1	102020			0	0	0		0			【主线】鬼牙刃	1	0	0	
818	3	3	1	102110			0	0	0		0			【主线】龙雀环	1	0	0	
819	3	3	1	103060			0	0	0		0			【主线】磐龙印	1	0	0	
820	3	3	1	103160			0	0	0		0			【主线】杏黄旗	1	0	0	
821	3	3	1	104140			0	0	0		0			【主线】东皇钟	1	0	0	
822	3	3	1	105080			0	0	0		0			【主线】紫金葫芦	1	0	0	
823	3	3	1	106040			0	0	0		0			【主线】炎麟盾	1	0	0	
824	3	3	1	107020			0	0	0		0			【主线】嗜天斧	1	0	0	
831	30	30	1	10			0	0	0		0			通关【本源挑战】焚源之炬	1	120	33	
832	30	30	1	11			0	0	0		0			通关【本源挑战】摄魂铃	1	120	34	
833	30	30	1	12			0	0	0		0			通关【本源挑战】乾云镜	1	120	35	
834	30	30	1	13			0	0	0		0			通关【本源挑战】天丝琴	1	120	36	
835	30	30	1	14			0	0	0		0			通关【本源挑战】九幽胄	1	120	37	
836	30	30	1	15			0	0	0		0			通关【本源挑战】碧霄剑	1	120	38	
837	30	30	1	16			0	0	0		0			通关【本源挑战】明心扇	1	120	39	
838	30	30	1	17			0	0	0		0			通关【本源挑战】混元伞	1	120	40	
839	30	30	1	18			0	0	0		0			通关【本源挑战】冥炎瓶	1	120	41	
840	30	30	1	19			0	0	0		0			通关【本源挑战】神火扇	1	120	42	
841	30	30	1	20			0	0	0		0			通关【本源挑战】白泽灯	1	120	43	
842	30	30	1	21			0	0	0		0			通关【本源挑战】磐龙袍	1	120	44	
843	30	30	1	22			0	0	0		0			通关【本源挑战】琉心笔	1	120	45	
844	30	30	1	23			0	0	0		0			通关【本源挑战】招魂幡	1	120	46	
845	30	30	1	24			0	0	0		0			通关【本源挑战】蛊凰盏	1	120	47	
901	55	55	10	0			2219_1	0	0	0	0			累计击败10人	1			
902	55	55	20	0			2221_1	0	0	0	0			累计击败20人	1			
903	55	55	50	0			2223_1	0	0	0	0			累计击败50人	1			
904	55	55	100	0			54_1	0	0	0	0			累计击败100人	1			
905	55	55	200	0			2223_1	0	0	0	0			累计击败200人	1			
906	55	55	300	0			2220_1	0	0	0	0			累计击败300人	1			
907	55	55	500	0			2221_1	0	0	0	0			累计击败500人	1			
908	55	55	600	0			2223_1	0	0	0	0			累计击败600人	1			
909	55	55	800	0			2221_1	0	0	0	0			累计击败800人	1			
910	55	55	1000	0			2223_1	0	0	0	0			累计击败1000人	1			
911	55	55	1500	0			2220_1	0	0	0	0			累计击败1500人	1			
912	55	55	2000	0			2222_1	0	0	0	0			累计击败2000人	1			
921	56	56	1	5			2221_1	0	0	0	0			连续击败5名玩家1次	1			
922	56	56	1	10			2223_1	0	0	0	0			连续击败10名玩家1次	1			
923	56	56	5	10			2220_1	0	0	0	0			连续击败10名玩家5次	1			
924	56	56	3	15			2221_1	0	0	0	0			连续击败15名玩家3次	1			
925	56	56	6	15			2222_1	0	0	0	0			连续击败15名玩家6次	1			
926	56	56	10	20			55_1	0	0	0	0			连续击败20名玩家10次	1			
927	56	56	50	10			2220_1	0	0	0	0			连续击败10名玩家50次	1			
928	56	56	80	10			2222_1	0	0	0	0			连续击败10名玩家80次	1			
929	56	56	120	10			2220_1	0	0	0	0			连续击败10名玩家120次	1			
930	56	56	200	10			2222_1	0	0	0	0			连续击败10名玩家200次	1			
951	65	65	1	10			2302_1		0		0			单次匹配连胜10场1次	0	0	0	
952	65	65	3	10			2304_1		0		0			单次匹配连胜10场3次	0	0	0	
953	65	65	5	10			2302_1		0		0			单次匹配连胜10场5次	0	0	0	
954	65	65	7	10			2304_1		0		0			单次匹配连胜10场7次	0	0	0	
955	65	65	9	10			2302_1		0		0			单次匹配连胜10场9次	0	0	0	
956	65	65	11	10			2304_1		0		0			单次匹配连胜10场11次	0	0	0	
957	65	65	13	10			2302_1		0		0			单次匹配连胜10场13次	0	0	0	
958	65	65	15	10			2304_1		0		0			单次匹配连胜10场15次	0	0	0	
959	65	65	17	10			2302_1		0		0			单次匹配连胜10场17次	0	0	0	
960	65	65	19	10			2304_1		0		0			单次匹配连胜10场19次	0	0	0	
961	65	65	21	10			2302_1		0		0			单次匹配连胜10场21次	0	0	0	
976	119	119	3200	0			2302_1		0		0			累计获得积分3200	0	0	0	
977	119	119	8000	0			2303_1		0		0			累计获得积分8000	0	0	0	
978	119	119	16000	0			2302_1		0		0			累计获得积分16000	0	0	0	
979	119	119	24000	0			2303_1		0		0			累计获得积分24000	0	0	0	
980	119	119	32000	0			2302_1		0		0			累计获得积分32000	0	0	0	
981	119	119	40000	0			2303_1		0		0			累计获得积分40000	0	0	0	
982	119	119	48000	0			2302_1		0		0			累计获得积分48000	0	0	0	
983	119	119	56000	0			2303_1		0		0			累计获得积分56000	0	0	0	
984	119	119	64000	0			2302_1		0		0			累计获得积分64000	0	0	0	
985	119	119	72000	0			2303_1		0		0			累计获得积分72000	0	0	0	
986	119	119	80000	0			2302_1		0		0			累计获得积分80000	0	0	0	
