int	int	int	int	int	int
775	8694630	37008000	1	670881973	74602185
776	8800590	48768000	1	679057908	74725641
777	8907735	39552000	1	687325262	74849097
778	9016076	88720000	1	695684945	74972553
779	9125627	27472000	1	704137907	75096009
780	9236398	53312000	1	712685072	75219465
781	9348403	16880000	1	721327405	75342921
782	9461653	49376000	1	730065856	75466377
783	9576162	5328000	1	738901393	75589833
784	9691941	63888000	1	747835003	75713289
785	9809004	84768000	1	756867658	75836745
786	9927364	67856000	1	766000361	75960201
787	10047034	5264000	1	775234109	76083657
788	10168026	17616000	1	784569921	76207113
789	10290354	17760000	1	794008810	76330569
790	10414031	44464000	1	803551809	76454025
791	10539071	46864000	1	813199959	76577481
792	10665487	85760000	1	822954310	76700937
793	10793294	28432000	1	832815917	76824393
794	10922504	56416000	1	842785846	76947849
795	11053132	60320000	1	852865170	77071305
796	11185192	55376000	1	863054981	77194761
797	11318698	71072000	1	873356382	77318217
798	11453665	12272000	1	883770457	77441673
799	11590106	60304000	1	894298349	77565129
800	11728037	42064000	1	904941159	77688585
