int	int	string	int	int	int[]	int	int	int	string	string	string	int
816	10	神兵	20	200	2	160	164363	188774	神兵推荐战力：	攻击神兵提升至<color=#fa0101>160阶</color>	TY_GN_28	4
817	10	神兵	20	200	1	180	188774	196314	神兵推荐战力：	生命神兵提升至<color=#fa0101>180阶</color>	TY_GN_28	4
818	10	神兵	20	200	2	180	196314	223631	神兵推荐战力：	攻击神兵提升至<color=#fa0101>180阶</color>	TY_GN_28	4
819	10	神兵	20	200	1	200	223631	231911	神兵推荐战力：	生命神兵提升至<color=#fa0101>200阶</color>	TY_GN_28	4
820	10	神兵	20	200	2	200	231911	246715	神兵推荐战力：	攻击神兵提升至<color=#fa0101>200阶</color>	TY_GN_28	4
821	10	神兵	20	200	1	210	246715	251155	神兵推荐战力：	生命神兵提升至<color=#fa0101>210阶</color>	TY_GN_28	4
822	10	神兵	20	200	2	210	251155	266755	神兵推荐战力：	攻击神兵提升至<color=#fa0101>210阶</color>	TY_GN_28	4
823	10	神兵	20	200	1	220	266755	271375	神兵推荐战力：	生命神兵提升至<color=#fa0101>220阶</color>	TY_GN_28	4
824	10	神兵	20	200	2	220	271375	287792	神兵推荐战力：	攻击神兵提升至<color=#fa0101>220阶</color>	TY_GN_28	4
825	10	神兵	20	200	1	230	287792	292652	神兵推荐战力：	生命神兵提升至<color=#fa0101>230阶</color>	TY_GN_28	4
826	10	神兵	20	200	2	230	292652	309909	神兵推荐战力：	攻击神兵提升至<color=#fa0101>230阶</color>	TY_GN_28	4
827	10	神兵	20	200	1	240	309909	314949	神兵推荐战力：	生命神兵提升至<color=#fa0101>240阶</color>	TY_GN_28	4
828	10	神兵	20	200	2	240	314949	333070	神兵推荐战力：	攻击神兵提升至<color=#fa0101>240阶</color>	TY_GN_28	4
829	10	神兵	20	200	1	250	333070	338350	神兵推荐战力：	生命神兵提升至<color=#fa0101>250阶</color>	TY_GN_28	4
830	10	神兵	20	200	2	250	338350	357357	神兵推荐战力：	攻击神兵提升至<color=#fa0101>250阶</color>	TY_GN_28	4
831	10	神兵	20	200	1	260	357357	362877	神兵推荐战力：	生命神兵提升至<color=#fa0101>260阶</color>	TY_GN_28	4
832	10	神兵	20	200	2	260	362877	382793	神兵推荐战力：	攻击神兵提升至<color=#fa0101>260阶</color>	TY_GN_28	4
833	10	神兵	20	200	1	270	382793	388513	神兵推荐战力：	生命神兵提升至<color=#fa0101>270阶</color>	TY_GN_28	4
834	10	神兵	20	200	2	270	388513	409361	神兵推荐战力：	攻击神兵提升至<color=#fa0101>270阶</color>	TY_GN_28	4
835	10	神兵	20	200	1	280	409361	415341	神兵推荐战力：	生命神兵提升至<color=#fa0101>280阶</color>	TY_GN_28	4
836	10	神兵	20	200	2	280	415341	437143	神兵推荐战力：	攻击神兵提升至<color=#fa0101>280阶</color>	TY_GN_28	4
837	10	神兵	20	200	1	290	437143	443363	神兵推荐战力：	生命神兵提升至<color=#fa0101>290阶</color>	TY_GN_28	4
838	10	神兵	20	200	2	290	443363	466143	神兵推荐战力：	攻击神兵提升至<color=#fa0101>290阶</color>	TY_GN_28	4
839	10	神兵	20	200	1	300	466143	472623	神兵推荐战力：	生命神兵提升至<color=#fa0101>300阶</color>	TY_GN_28	4
840	10	神兵	20	200	2	300	472623	496404	神兵推荐战力：	攻击神兵提升至<color=#fa0101>300阶</color>	TY_GN_28	4
841	10	神兵	20	200	1	310	496404	503124	神兵推荐战力：	生命神兵提升至<color=#fa0101>310阶</color>	TY_GN_28	4
842	10	神兵	20	200	2	310	503124	527927	神兵推荐战力：	攻击神兵提升至<color=#fa0101>310阶</color>	TY_GN_28	4
843	10	神兵	20	200	1	320	527927	534907	神兵推荐战力：	生命神兵提升至<color=#fa0101>320阶</color>	TY_GN_28	4
844	10	神兵	20	200	2	320	534907	560757	神兵推荐战力：	攻击神兵提升至<color=#fa0101>320阶</color>	TY_GN_28	4
845	10	神兵	20	200	1	330	560757	568017	神兵推荐战力：	生命神兵提升至<color=#fa0101>330阶</color>	TY_GN_28	4
846	10	神兵	20	200	2	330	568017	594936	神兵推荐战力：	攻击神兵提升至<color=#fa0101>330阶</color>	TY_GN_28	4
847	10	神兵	20	200	1	340	594936	602476	神兵推荐战力：	生命神兵提升至<color=#fa0101>340阶</color>	TY_GN_28	4
848	10	神兵	20	200	2	340	602476	630486	神兵推荐战力：	攻击神兵提升至<color=#fa0101>340阶</color>	TY_GN_28	4
849	10	神兵	20	200	1	350	630486	638286	神兵推荐战力：	生命神兵提升至<color=#fa0101>350阶</color>	TY_GN_28	4
850	10	神兵	20	200	2	350	638286	667411	神兵推荐战力：	攻击神兵提升至<color=#fa0101>350阶</color>	TY_GN_28	4
851	10	神兵	20	200	1	360	667411	675511	神兵推荐战力：	生命神兵提升至<color=#fa0101>360阶</color>	TY_GN_28	4
852	10	神兵	20	200	2	360	675511	705773	神兵推荐战力：	攻击神兵提升至<color=#fa0101>360阶</color>	TY_GN_28	4
853	10	神兵	20	200	1	370	705773	714153	神兵推荐战力：	生命神兵提升至<color=#fa0101>370阶</color>	TY_GN_28	4
854	10	神兵	20	200	2	370	714153	745576	神兵推荐战力：	攻击神兵提升至<color=#fa0101>370阶</color>	TY_GN_28	4
855	10	神兵	20	200	1	380	745576	754256	神兵推荐战力：	生命神兵提升至<color=#fa0101>380阶</color>	TY_GN_28	4
856	10	神兵	20	200	2	380	754256	786862	神兵推荐战力：	攻击神兵提升至<color=#fa0101>380阶</color>	TY_GN_28	4
857	10	神兵	20	200	1	390	786862	795862	神兵推荐战力：	生命神兵提升至<color=#fa0101>390阶</color>	TY_GN_28	4
858	10	神兵	20	200	2	390	795862	829673	神兵推荐战力：	攻击神兵提升至<color=#fa0101>390阶</color>	TY_GN_28	4
859	10	神兵	20	200	1	400	829673	838953	神兵推荐战力：	生命神兵提升至<color=#fa0101>400阶</color>	TY_GN_28	4
860	10	神兵	20	200	2	400	838953	838953	神兵推荐战力：	攻击神兵提升至<color=#fa0101>400阶</color>	TY_GN_28	4
901	5	翅膀	3	180	1	1	56168	127668	翅膀推荐战力：	穿戴第<color=#fa0101>一代</color>翅膀	TB_DJ_3711	17
902	5	翅膀	3	180	2	1	127668	292944	翅膀推荐战力：	穿戴第<color=#fa0101>二代</color>翅膀	TB_DJ_3711	17
903	5	翅膀	3	180	3	1	292944	770508	翅膀推荐战力：	穿戴第<color=#fa0101>三代</color>翅膀	TB_DJ_3711	17
904	5	翅膀	3	180	4	1	770508	1758186	翅膀推荐战力：	穿戴第<color=#fa0101>四代</color>翅膀	TB_DJ_3711	17
905	5	翅膀	3	180	5	1	1758186	1758186	翅膀推荐战力：	穿戴第<color=#fa0101>五代</color>翅膀	TB_DJ_3711	17
1001	6	洗炼	91	280	2	3	6600	21388	装备洗炼	<color=#fa0101>3件</color>装备达到<color=#fa0101>2级</color>洗炼等级	TY_GN_35	16
1002	6	洗炼	91	280	2	5	21388	30876	装备洗炼	<color=#fa0101>5件</color>装备达到<color=#fa0101>2级</color>洗炼等级	TY_GN_35	16
1003	6	洗炼	91	280	2	7	30876	36057	装备洗炼	<color=#fa0101>7件</color>装备达到<color=#fa0101>2级</color>洗炼等级	TY_GN_35	16
1004	6	洗炼	91	280	3	3	36057	40039	装备洗炼	<color=#fa0101>3件</color>装备达到<color=#fa0101>3级</color>洗炼等级	TY_GN_35	16
1005	6	洗炼	91	280	3	5	40039	44198	装备洗炼	<color=#fa0101>5件</color>装备达到<color=#fa0101>3级</color>洗炼等级	TY_GN_35	16
1006	6	洗炼	91	280	3	7	44198	50731	装备洗炼	<color=#fa0101>7件</color>装备达到<color=#fa0101>3级</color>洗炼等级	TY_GN_35	16
1007	6	洗炼	91	280	4	3	50731	79977	装备洗炼	<color=#fa0101>3件</color>装备达到<color=#fa0101>4级</color>洗炼等级	TY_GN_35	16
1008	6	洗炼	91	280	4	5	79977	99952	装备洗炼	<color=#fa0101>5件</color>装备达到<color=#fa0101>4级</color>洗炼等级	TY_GN_35	16
1009	6	洗炼	91	280	4	7	99952	109175	装备洗炼	<color=#fa0101>7件</color>装备达到<color=#fa0101>4级</color>洗炼等级	TY_GN_35	16
1010	6	洗炼	91	280	5	3	109175	115577	装备洗炼	<color=#fa0101>3件</color>装备达到<color=#fa0101>5级</color>洗炼等级	TY_GN_35	16
1011	6	洗炼	91	280	5	5	115577	125846	装备洗炼	<color=#fa0101>5件</color>装备达到<color=#fa0101>5级</color>洗炼等级	TY_GN_35	16
1012	6	洗炼	91	280	5	7	125846	131846	装备洗炼	<color=#fa0101>7件</color>装备达到<color=#fa0101>5级</color>洗炼等级	TY_GN_35	16
1013	6	洗炼	91	280	6	3	131846	168678	装备洗炼	<color=#fa0101>3件</color>装备达到<color=#fa0101>6级</color>洗炼等级	TY_GN_35	16
1014	6	洗炼	91	280	6	5	168678	190021	装备洗炼	<color=#fa0101>5件</color>装备达到<color=#fa0101>6级</color>洗炼等级	TY_GN_35	16
1015	6	洗炼	91	280	6	7	190021	199021	装备洗炼	<color=#fa0101>7件</color>装备达到<color=#fa0101>6级</color>洗炼等级	TY_GN_35	16
1016	6	洗炼	91	280	7	3	199021	205021	装备洗炼	<color=#fa0101>3件</color>装备达到<color=#fa0101>7级</color>洗炼等级	TY_GN_35	16
1017	6	洗炼	91	280	7	5	205021	211021	装备洗炼	<color=#fa0101>5件</color>装备达到<color=#fa0101>7级</color>洗炼等级	TY_GN_35	16
1018	6	洗炼	91	280	7	7	211021	226021	装备洗炼	<color=#fa0101>7件</color>装备达到<color=#fa0101>7级</color>洗炼等级	TY_GN_35	16
1019	6	洗炼	91	280	8	3	226021	273128	装备洗炼	<color=#fa0101>3件</color>装备达到<color=#fa0101>8级</color>洗炼等级	TY_GN_35	16
1020	6	洗炼	91	280	8	5	273128	303470	装备洗炼	<color=#fa0101>5件</color>装备达到<color=#fa0101>8级</color>洗炼等级	TY_GN_35	16
1021	6	洗炼	91	280	8	7	303470	321470	装备洗炼	<color=#fa0101>7件</color>装备达到<color=#fa0101>8级</color>洗炼等级	TY_GN_35	16
1022	6	洗炼	91	280	9	3	321470	333470	装备洗炼	<color=#fa0101>3件</color>装备达到<color=#fa0101>9级</color>洗炼等级	TY_GN_35	16
1023	6	洗炼	91	280	9	5	333470	345470	装备洗炼	<color=#fa0101>5件</color>装备达到<color=#fa0101>9级</color>洗炼等级	TY_GN_35	16
1024	6	洗炼	91	280	9	7	345470	369470	装备洗炼	<color=#fa0101>7件</color>装备达到<color=#fa0101>9级</color>洗炼等级	TY_GN_35	16
1025	6	洗炼	91	280	10	3	369470	385470	装备洗炼	<color=#fa0101>3件</color>装备达到<color=#fa0101>10级</color>洗炼等级	TY_GN_35	16
1026	6	洗炼	91	280	10	5	385470	401470	装备洗炼	<color=#fa0101>5件</color>装备达到<color=#fa0101>10级</color>洗炼等级	TY_GN_35	16
1027	6	洗炼	91	280	10	7	401470	401470	装备洗炼	<color=#fa0101>7件</color>装备达到<color=#fa0101>10级</color>洗炼等级	TY_GN_35	16
1101	4	套装	36	250	1	2	12057	66894	锻造一阶普通套装	穿戴<color=#fa0101>2件普通</color>套装	TY_GN_33	15
1102	4	套装	36	250	1	3	66894	222755	锻造二阶普通套装	穿戴<color=#fa0101>3件普通</color>套装	TY_GN_33	15
1103	4	套装	36	250	1	5	222755	260717	锻造一阶强化套装	穿戴<color=#fa0101>5件普通</color>套装	TY_GN_33	15
1104	4	套装	36	250	2	2	260717	326287	锻造四阶普通套装	穿戴<color=#fa0101>2件混沌</color>套装	TY_GN_33	15
1105	4	套装	36	250	2	3	326287	613005	锻造五阶普通套装	穿戴<color=#fa0101>3件混沌</color>套装	TY_GN_33	15
1106	4	套装	36	250	2	5	613005	713017	锻造三阶强化套装	穿戴<color=#fa0101>5件混沌</color>套装	TY_GN_33	15
1107	4	套装	36	250	2	5	713017	813055	锻造六阶普通套装	穿戴<color=#fa0101>5件混沌</color>套装	TY_GN_33	15
1108	4	套装	36	250	2	5	813055	913094	锻造七阶普通套装	穿戴<color=#fa0101>5件混沌</color>套装	TY_GN_33	15
1109	4	套装	36	250	2	5	913094	1003005	锻造四阶强化套装	穿戴<color=#fa0101>5件混沌</color>套装	TY_GN_33	15
1110	4	套装	36	250	2	5	1003005	1203057	锻造八阶普通套装	穿戴<color=#fa0101>5件混沌</color>套装	TY_GN_33	15
1111	4	套装	36	250	2	5	1203057	1203057	锻造五阶强化套装	穿戴<color=#fa0101>5件混沌</color>套装	TY_GN_33	15
1201	14	人族法宝	0	90	1	106	22425	45747	法宝推荐战力：	获得法宝<color=#fa0101>杏黄旗</color>	Renzu_106	119
1202	14	人族法宝	0	90	1	107	45747	78129	法宝推荐战力：	获得法宝<color=#fa0101>东皇钟</color>	Renzu_108	119
1203	14	人族法宝	0	90	1	108	78129	114754	法宝推荐战力：	获得法宝<color=#fa0101>紫金葫芦</color>	Renzu_109	119
1204	14	人族法宝	0	90	1	109	114754	153743	法宝推荐战力：	获得法宝<color=#fa0101>万火麒麟盾</color>	Renzu_110	119
1205	14	人族法宝	0	90	1	110	153743	183743	法宝推荐战力：	获得法宝<color=#fa0101>嗜天斧</color>	Renzu_111	119
1301	16	魔族法宝	0	80	2	201	3051	9594	法宝推荐战力：	获得法宝<color=#fa0101>焚源之炬</color>	Mozu_201	120
1302	16	魔族法宝	0	80	2	202	9594	18874	法宝推荐战力：	获得法宝<color=#fa0101>摄魂铃</color>	Mozu_202	120
1303	16	魔族法宝	0	80	2	203	18874	31497	法宝推荐战力：	获得法宝<color=#fa0101>乾云镜</color>	Mozu_203	120
1304	16	魔族法宝	0	80	2	204	31497	46519	法宝推荐战力：	获得法宝<color=#fa0101>天丝琴</color>	Mozu_204	120
1305	16	魔族法宝	0	80	2	205	46519	65549	法宝推荐战力：	获得法宝<color=#fa0101>九幽胄</color>	Mozu_205	120
1306	16	魔族法宝	0	80	2	206	65549	89230	法宝推荐战力：	获得法宝<color=#fa0101>碧霄剑</color>	Mozu_206	120
1307	16	魔族法宝	0	80	2	207	89230	116460	法宝推荐战力：	获得法宝<color=#fa0101>明心扇</color>	Mozu_207	120
1308	16	魔族法宝	0	80	2	208	116460	147439	法宝推荐战力：	获得法宝<color=#fa0101>混元伞</color>	Mozu_208	120
1309	16	魔族法宝	0	80	2	209	147439	182480	法宝推荐战力：	获得法宝<color=#fa0101>冥炎瓶</color>	Mozu_209	120
1310	16	魔族法宝	0	80	2	210	182480	222654	法宝推荐战力：	获得法宝<color=#fa0101>神火扇</color>	Mozu_210	120
1311	16	魔族法宝	0	80	2	211	222654	270691	法宝推荐战力：	获得法宝<color=#fa0101>白泽灯</color>	Mozu_211	120
1312	16	魔族法宝	0	80	2	212	270691	326692	法宝推荐战力：	获得法宝<color=#fa0101>磐龙袍</color>	Mozu_212	120
1313	16	魔族法宝	0	80	2	213	326692	391834	法宝推荐战力：	获得法宝<color=#fa0101>琉心笔</color>	Mozu_213	120
1314	16	魔族法宝	0	80	2	214	391834	391834	法宝推荐战力：	获得法宝<color=#fa0101>招魂幡</color>	Mozu_214	120
1401	17	仙族法宝	0	90	3	302			法宝推荐战力：	获得法宝<color=#fa0101>龙凤镯</color>	Xianzu302	1018
1402	17	仙族法宝	0	90	3	303			法宝推荐战力：	获得法宝<color=#fa0101>轩辕剑</color>	Xianzu303	1018
1403	17	仙族法宝	0	90	3	304			法宝推荐战力：	获得法宝<color=#fa0101>驭灵卷</color>	Xianzu304	1018
1404	17	仙族法宝	0	90	3	301			法宝推荐战力：	获得法宝<color=#fa0101>八卦炉</color>	Xianzu301	1018
1405	17	仙族法宝	0	90	3	305			法宝推荐战力：	获得法宝<color=#fa0101>四宝仙盏</color>	Xianzu305	1018
1406	17	仙族法宝	0	90	3	306			法宝推荐战力：	获得法宝<color=#fa0101>昆仑镜</color>	Xianzu306	1018
1407	17	仙族法宝	0	90	3	307			法宝推荐战力：	获得法宝<color=#fa0101>天机仪</color>	Xianzu307	1018
