int	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string	string	string	string	string	int	int
50028	旋枪	50005	24	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4005	9430	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000	0	220	14996	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	增加金箍探海的技能伤害<color=#109d06FF>94.3%</color>	增加金箍探海的技能伤害<color=#109d06FF>94.3%</color>	被动技能	0	0
50029	旋枪	50005	25	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4005	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000	0	220	16193	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	增加金箍探海的技能伤害<color=#109d06FF>100%</color>	增加金箍探海的技能伤害<color=#109d06FF>100%</color>	被动技能	0	0
50035	爆发	50035	1	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50005	15	220	500	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海时，暴击时候附加<color=#109d06FF>6%</color>暴击值	使用金箍探海时，暴击时候附加<color=#109d06FF>6%</color>暴击值	被动技能	0	0
50036	爆发	50035	2	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50005	15	220	1063	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海时，暴击时候附加<color=#109d06FF>7%</color>暴击值	使用金箍探海时，暴击时候附加<color=#109d06FF>7%</color>暴击值	被动技能	0	0
50037	爆发	50035	3	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50005	15	220	1689	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海时，暴击时候附加<color=#109d06FF>8%</color>暴击值	使用金箍探海时，暴击时候附加<color=#109d06FF>8%</color>暴击值	被动技能	0	0
50038	爆发	50035	4	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50005	15	220	2471	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海时，暴击时候附加<color=#109d06FF>9%</color>暴击值	使用金箍探海时，暴击时候附加<color=#109d06FF>9%</color>暴击值	被动技能	0	0
50039	爆发	50035	5	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50005	15	220	3409	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海时，暴击时候附加<color=#109d06FF>10%</color>暴击值	使用金箍探海时，暴击时候附加<color=#109d06FF>10%</color>暴击值	被动技能	0	0
50040	爆发	50035	6	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	1150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50005	15	220	4504	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海时，暴击时候附加<color=#109d06FF>11.5%</color>暴击值	使用金箍探海时，暴击时候附加<color=#109d06FF>11.5%</color>暴击值	被动技能	0	0
50041	爆发	50035	7	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	1300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50005	15	220	5755	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海时，暴击时候附加<color=#109d06FF>13%</color>暴击值	使用金箍探海时，暴击时候附加<color=#109d06FF>13%</color>暴击值	被动技能	0	0
50042	爆发	50035	8	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	1450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50005	15	220	7163	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海时，暴击时候附加<color=#109d06FF>14.5%</color>暴击值	使用金箍探海时，暴击时候附加<color=#109d06FF>14.5%</color>暴击值	被动技能	0	0
50043	爆发	50035	9	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	1600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50005	15	220	8727	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海时，暴击时候附加<color=#109d06FF>16%</color>暴击值	使用金箍探海时，暴击时候附加<color=#109d06FF>16%</color>暴击值	被动技能	0	0
50044	爆发	50035	10	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	1750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50005	15	220	10447	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海时，暴击时候附加<color=#109d06FF>17.5%</color>暴击值	使用金箍探海时，暴击时候附加<color=#109d06FF>17.5%</color>暴击值	被动技能	0	0
50045	爆发	50035	11	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	1950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50005	15	220	12324	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海时，暴击时候附加<color=#109d06FF>19.5%</color>暴击值	使用金箍探海时，暴击时候附加<color=#109d06FF>19.5%</color>暴击值	被动技能	0	0
50046	爆发	50035	12	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	2150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50005	15	220	14357	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海时，暴击时候附加<color=#109d06FF>21.5%</color>暴击值	使用金箍探海时，暴击时候附加<color=#109d06FF>21.5%</color>暴击值	被动技能	0	0
50047	爆发	50035	13	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	2350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50005	15	220	16546	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海时，暴击时候附加<color=#109d06FF>23.5%</color>暴击值	使用金箍探海时，暴击时候附加<color=#109d06FF>23.5%</color>暴击值	被动技能	0	0
50048	爆发	50035	14	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	2550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50005	15	220	18892	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海时，暴击时候附加<color=#109d06FF>25.5%</color>暴击值	使用金箍探海时，暴击时候附加<color=#109d06FF>25.5%</color>暴击值	被动技能	0	0
50049	爆发	50035	15	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	2750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50005	15	220	21394	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海时，暴击时候附加<color=#109d06FF>27.5%</color>暴击值	使用金箍探海时，暴击时候附加<color=#109d06FF>27.5%</color>暴击值	被动技能	0	0
50050	爆发	50035	16	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50005	15	220	24053	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海时，暴击时候附加<color=#109d06FF>30%</color>暴击值	使用金箍探海时，暴击时候附加<color=#109d06FF>30%</color>暴击值	被动技能	0	0
50051	爆发	50035	17	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	3250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50005	15	220	26868	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海时，暴击时候附加<color=#109d06FF>32.5%</color>暴击值	使用金箍探海时，暴击时候附加<color=#109d06FF>32.5%</color>暴击值	被动技能	0	0
50052	爆发	50035	18	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	3500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50005	15	220	29839	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海时，暴击时候附加<color=#109d06FF>35%</color>暴击值	使用金箍探海时，暴击时候附加<color=#109d06FF>35%</color>暴击值	被动技能	0	0
50053	爆发	50035	19	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	3750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50005	15	220	32967	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海时，暴击时候附加<color=#109d06FF>37.5%</color>暴击值	使用金箍探海时，暴击时候附加<color=#109d06FF>37.5%</color>暴击值	被动技能	0	0
50054	爆发	50035	20	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50005	15	220	36251	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海时，暴击时候附加<color=#109d06FF>40%</color>暴击值	使用金箍探海时，暴击时候附加<color=#109d06FF>40%</color>暴击值	被动技能	0	0
50055	爆发	50035	21	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	4300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50005	15	220	39691	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海时，暴击时候附加<color=#109d06FF>43%</color>暴击值	使用金箍探海时，暴击时候附加<color=#109d06FF>43%</color>暴击值	被动技能	0	0
50056	爆发	50035	22	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	4600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50005	15	220	43288	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海时，暴击时候附加<color=#109d06FF>46%</color>暴击值	使用金箍探海时，暴击时候附加<color=#109d06FF>46%</color>暴击值	被动技能	0	0
50057	爆发	50035	23	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	4900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50005	15	220	47041	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海时，暴击时候附加<color=#109d06FF>49%</color>暴击值	使用金箍探海时，暴击时候附加<color=#109d06FF>49%</color>暴击值	被动技能	0	0
50058	爆发	50035	24	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	5200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50005	15	220	50951	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海时，暴击时候附加<color=#109d06FF>52%</color>暴击值	使用金箍探海时，暴击时候附加<color=#109d06FF>52%</color>暴击值	被动技能	0	0
50059	爆发	50035	25	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	5500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50005	15	220	55017	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海时，暴击时候附加<color=#109d06FF>55%</color>暴击值	使用金箍探海时，暴击时候附加<color=#109d06FF>55%</color>暴击值	被动技能	0	0
50065	疾风	50065	1	25	2	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50035	15	220	988	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>0.6</color>秒	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>0.6</color>秒	被动技能	0	0
50066	疾风	50065	2	25	2	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50035	15	220	2099	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>0.7</color>秒	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>0.7</color>秒	被动技能	0	0
50067	疾风	50065	3	25	2	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50035	15	220	3334	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>0.8</color>秒	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>0.8</color>秒	被动技能	0	0
50068	疾风	50065	4	25	2	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50035	15	220	4816	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>0.9</color>秒	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>0.9</color>秒	被动技能	0	0
50069	疾风	50065	5	25	2	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50035	15	220	6545	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>1</color>秒	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>1</color>秒	被动技能	0	0
50070	疾风	50065	6	25	2	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50035	15	220	8520	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>1.2</color>秒	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>1.2</color>秒	被动技能	0	0
50071	疾风	50065	7	25	2	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50035	15	220	10742	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>1.4</color>秒	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>1.4</color>秒	被动技能	0	0
50072	疾风	50065	8	25	2	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50035	15	220	13211	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>1.6</color>秒	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>1.6</color>秒	被动技能	0	0
50073	疾风	50065	9	25	2	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50035	15	220	15927	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>1.8</color>秒	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>1.8</color>秒	被动技能	0	0
50074	疾风	50065	10	25	2	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50035	15	220	18890	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>2</color>秒	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>2</color>秒	被动技能	0	0
50075	疾风	50065	11	25	2	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50035	15	220	22100	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>2.2</color>秒	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>2.2</color>秒	被动技能	0	0
50076	疾风	50065	12	25	2	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50035	15	220	25557	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>2.4</color>秒	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>2.4</color>秒	被动技能	0	0
50077	疾风	50065	13	25	2	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50035	15	220	29261	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>2.6</color>秒	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>2.6</color>秒	被动技能	0	0
50078	疾风	50065	14	25	2	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50035	15	220	33212	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>2.8</color>秒	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>2.8</color>秒	被动技能	0	0
50079	疾风	50065	15	25	2	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50035	15	220	37410	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>3</color>秒	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>3</color>秒	被动技能	0	0
50080	疾风	50065	16	25	2	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50035	15	220	41855	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>3.3</color>秒	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>3.3</color>秒	被动技能	0	0
50081	疾风	50065	17	25	2	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50035	15	220	46547	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>3.6</color>秒	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>3.6</color>秒	被动技能	0	0
50082	疾风	50065	18	25	2	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50035	15	220	51486	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>3.9</color>秒	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>3.9</color>秒	被动技能	0	0
50083	疾风	50065	19	25	2	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50035	15	220	56671	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>4.2</color>秒	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>4.2</color>秒	被动技能	0	0
50084	疾风	50065	20	25	2	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50035	15	220	62103	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>4.5</color>秒	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>4.5</color>秒	被动技能	0	0
50085	疾风	50065	21	25	2	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50035	15	220	67782	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>4.8</color>秒	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>4.8</color>秒	被动技能	0	0
50086	疾风	50065	22	25	2	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50035	15	220	73708	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>5.1</color>秒	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>5.1</color>秒	被动技能	0	0
50087	疾风	50065	23	25	2	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50035	15	220	79881	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>5.4</color>秒	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>5.4</color>秒	被动技能	0	0
50088	疾风	50065	24	25	2	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50035	15	220	86301	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>5.7</color>秒	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>5.7</color>秒	被动技能	0	0
50089	疾风	50065	25	25	2	3	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	4004	3000	0	0	17	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50035	15	220	92968	0	0	0	0	0	4	0	50000	0	0	0	0	0	0	0	TB_JN_ZD_50000	-	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>6</color>秒	使用金箍探海30%几率给自身增加攻速，增加<color=#109d06FF>20</color>点攻速，持续<color=#109d06FF>6</color>秒	被动技能	0	0
50105	魂兵	50105	1	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4008	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50100	0	220	147	0	0	0	0	0	4	0	50100	0	0	0	0	0	0	0	TB_JN_ZD_50100	-	增加皓月腾空穿戴的珍品件数*<color=#109d06FF>0.8%</color>的技能伤害	增加皓月腾空穿戴的珍品件数*<color=#109d06FF>0.8%</color>的技能伤害	被动技能	0	0
