int	int	int	int	string	int	string	string	string	int	string	string	string	string	int	int	int	int	string
112	4	500	2	龙魂3星红装	6	9阶装备	10982	10971|10972|10973|10974|10975|10976|10977	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>9阶2星</color><color=#fa0101>红色装备</color></r>
113	4	500	2	龙魂3星红装	6	9阶装备	10983	10971|10972|10973|10974|10975|10976|10977	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>9阶2星</color><color=#fa0101>红色装备</color></r>
114	4	500	2	龙魂3星红装	6	9阶装备	10984	10971|10972|10973|10974|10975|10976|10977	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>9阶2星</color><color=#fa0101>红色装备</color></r>
115	4	500	2	龙魂3星红装	6	9阶装备	10985	10971|10972|10973|10974|10975|10976|10977	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>9阶2星</color><color=#fa0101>红色装备</color></r>
116	4	500	2	龙魂3星红装	6	9阶装备	10986	10971|10972|10973|10974|10975|10976|10977	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>9阶2星</color><color=#fa0101>红色装备</color></r>
117	4	500	2	龙魂3星红装	6	9阶装备	10987	10971|10972|10973|10974|10975|10976|10977	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>9阶2星</color><color=#fa0101>红色装备</color></r>
118	4	500	2	龙魂3星红装	7	10阶装备	11081	11071|11072|11073|11074|11075|11076|11077	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>10阶2星</color><color=#fa0101>红色装备</color></r>
119	4	500	2	龙魂3星红装	7	10阶装备	11082	11071|11072|11073|11074|11075|11076|11077	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>10阶2星</color><color=#fa0101>红色装备</color></r>
120	4	500	2	龙魂3星红装	7	10阶装备	11083	11071|11072|11073|11074|11075|11076|11077	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>10阶2星</color><color=#fa0101>红色装备</color></r>
121	4	500	2	龙魂3星红装	7	10阶装备	11084	11071|11072|11073|11074|11075|11076|11077	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>10阶2星</color><color=#fa0101>红色装备</color></r>
122	4	500	2	龙魂3星红装	7	10阶装备	11085	11071|11072|11073|11074|11075|11076|11077	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>10阶2星</color><color=#fa0101>红色装备</color></r>
123	4	500	2	龙魂3星红装	7	10阶装备	11086	11071|11072|11073|11074|11075|11076|11077	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>10阶2星</color><color=#fa0101>红色装备</color></r>
124	4	500	2	龙魂3星红装	7	10阶装备	11087	11071|11072|11073|11074|11075|11076|11077	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>10阶2星</color><color=#fa0101>红色装备</color></r>
125	4	500	2	龙魂3星红装	8	11阶装备	11181	11171|11172|11173|11174|11175|11176|11177	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>11阶2星</color><color=#fa0101>红色装备</color></r>
126	4	500	2	龙魂3星红装	8	11阶装备	11182	11171|11172|11173|11174|11175|11176|11177	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>11阶2星</color><color=#fa0101>红色装备</color></r>
127	4	500	2	龙魂3星红装	8	11阶装备	11183	11171|11172|11173|11174|11175|11176|11177	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>11阶2星</color><color=#fa0101>红色装备</color></r>
128	4	500	2	龙魂3星红装	8	11阶装备	11184	11171|11172|11173|11174|11175|11176|11177	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>11阶2星</color><color=#fa0101>红色装备</color></r>
129	4	500	2	龙魂3星红装	8	11阶装备	11185	11171|11172|11173|11174|11175|11176|11177	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>11阶2星</color><color=#fa0101>红色装备</color></r>
130	4	500	2	龙魂3星红装	8	11阶装备	11186	11171|11172|11173|11174|11175|11176|11177	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>11阶2星</color><color=#fa0101>红色装备</color></r>
131	4	500	2	龙魂3星红装	8	11阶装备	11187	11171|11172|11173|11174|11175|11176|11177	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>11阶2星</color><color=#fa0101>红色装备</color></r>
132	4	0	3	灵瑶2星红装	1	3阶装备	20371	20351|20352|20353|20354|20355|20356|20357	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>3阶2星</color><color=#ff8400>橙色装备</color></r>
133	4	0	3	灵瑶2星红装	1	3阶装备	20372	20351|20352|20353|20354|20355|20356|20357	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>3阶2星</color><color=#ff8400>橙色装备</color></r>
134	4	0	3	灵瑶2星红装	1	3阶装备	20373	20351|20352|20353|20354|20355|20356|20357	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>3阶2星</color><color=#ff8400>橙色装备</color></r>
135	4	0	3	灵瑶2星红装	1	3阶装备	20374	20351|20352|20353|20354|20355|20356|20357	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>3阶2星</color><color=#ff8400>橙色装备</color></r>
136	4	0	3	灵瑶2星红装	1	3阶装备	20375	20351|20352|20353|20354|20355|20356|20357	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>3阶2星</color><color=#ff8400>橙色装备</color></r>
137	4	0	3	灵瑶2星红装	1	3阶装备	20376	20351|20352|20353|20354|20355|20356|20357	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>3阶2星</color><color=#ff8400>橙色装备</color></r>
138	4	0	3	灵瑶2星红装	1	3阶装备	20377	20351|20352|20353|20354|20355|20356|20357	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>3阶2星</color><color=#ff8400>橙色装备</color></r>
139	4	0	3	灵瑶2星红装	2	4阶装备	20471	20451|20452|20453|20454|20455|20456|20457	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>4阶2星</color><color=#ff8400>橙色装备</color></r>
140	4	0	3	灵瑶2星红装	2	4阶装备	20472	20451|20452|20453|20454|20455|20456|20457	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>4阶2星</color><color=#ff8400>橙色装备</color></r>
141	4	0	3	灵瑶2星红装	2	4阶装备	20473	20451|20452|20453|20454|20455|20456|20457	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>4阶2星</color><color=#ff8400>橙色装备</color></r>
142	4	0	3	灵瑶2星红装	2	4阶装备	20474	20451|20452|20453|20454|20455|20456|20457	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>4阶2星</color><color=#ff8400>橙色装备</color></r>
143	4	0	3	灵瑶2星红装	2	4阶装备	20475	20451|20452|20453|20454|20455|20456|20457	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>4阶2星</color><color=#ff8400>橙色装备</color></r>
144	4	0	3	灵瑶2星红装	2	4阶装备	20476	20451|20452|20453|20454|20455|20456|20457	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>4阶2星</color><color=#ff8400>橙色装备</color></r>
145	4	0	3	灵瑶2星红装	2	4阶装备	20477	20451|20452|20453|20454|20455|20456|20457	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>4阶2星</color><color=#ff8400>橙色装备</color></r>
146	4	0	3	灵瑶2星红装	3	5阶装备	20571	20551|20552|20553|20554|20555|20556|20557	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>5阶2星</color><color=#ff8400>橙色装备</color></r>
147	4	0	3	灵瑶2星红装	3	5阶装备	20572	20551|20552|20553|20554|20555|20556|20557	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>5阶2星</color><color=#ff8400>橙色装备</color></r>
148	4	0	3	灵瑶2星红装	3	5阶装备	20573	20551|20552|20553|20554|20555|20556|20557	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>5阶2星</color><color=#ff8400>橙色装备</color></r>
149	4	0	3	灵瑶2星红装	3	5阶装备	20574	20551|20552|20553|20554|20555|20556|20557	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>5阶2星</color><color=#ff8400>橙色装备</color></r>
150	4	0	3	灵瑶2星红装	3	5阶装备	20575	20551|20552|20553|20554|20555|20556|20557	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>5阶2星</color><color=#ff8400>橙色装备</color></r>
151	4	0	3	灵瑶2星红装	3	5阶装备	20576	20551|20552|20553|20554|20555|20556|20557	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>5阶2星</color><color=#ff8400>橙色装备</color></r>
152	4	0	3	灵瑶2星红装	3	5阶装备	20577	20551|20552|20553|20554|20555|20556|20557	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>5阶2星</color><color=#ff8400>橙色装备</color></r>
153	4	0	3	灵瑶2星红装	4	6阶装备	20671	20651|20652|20653|20654|20655|20656|20657	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>6阶2星</color><color=#ff8400>橙色装备</color></r>
154	4	0	3	灵瑶2星红装	4	6阶装备	20672	20651|20652|20653|20654|20655|20656|20657	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>6阶2星</color><color=#ff8400>橙色装备</color></r>
155	4	0	3	灵瑶2星红装	4	6阶装备	20673	20651|20652|20653|20654|20655|20656|20657	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>6阶2星</color><color=#ff8400>橙色装备</color></r>
156	4	0	3	灵瑶2星红装	4	6阶装备	20674	20651|20652|20653|20654|20655|20656|20657	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>6阶2星</color><color=#ff8400>橙色装备</color></r>
157	4	0	3	灵瑶2星红装	4	6阶装备	20675	20651|20652|20653|20654|20655|20656|20657	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>6阶2星</color><color=#ff8400>橙色装备</color></r>
158	4	0	3	灵瑶2星红装	4	6阶装备	20676	20651|20652|20653|20654|20655|20656|20657	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>6阶2星</color><color=#ff8400>橙色装备</color></r>
159	4	0	3	灵瑶2星红装	4	6阶装备	20677	20651|20652|20653|20654|20655|20656|20657	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>6阶2星</color><color=#ff8400>橙色装备</color></r>
160	4	0	3	灵瑶2星红装	5	7阶装备	20771	20751|20752|20753|20754|20755|20756|20757	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>7阶2星</color><color=#ff8400>橙色装备</color></r>
161	4	0	3	灵瑶2星红装	5	7阶装备	20772	20751|20752|20753|20754|20755|20756|20757	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>7阶2星</color><color=#ff8400>橙色装备</color></r>
162	4	0	3	灵瑶2星红装	5	7阶装备	20773	20751|20752|20753|20754|20755|20756|20757	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>7阶2星</color><color=#ff8400>橙色装备</color></r>
163	4	0	3	灵瑶2星红装	5	7阶装备	20774	20751|20752|20753|20754|20755|20756|20757	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>7阶2星</color><color=#ff8400>橙色装备</color></r>
164	4	0	3	灵瑶2星红装	5	7阶装备	20775	20751|20752|20753|20754|20755|20756|20757	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>7阶2星</color><color=#ff8400>橙色装备</color></r>
165	4	0	3	灵瑶2星红装	5	7阶装备	20776	20751|20752|20753|20754|20755|20756|20757	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>7阶2星</color><color=#ff8400>橙色装备</color></r>
166	4	0	3	灵瑶2星红装	5	7阶装备	20777	20751|20752|20753|20754|20755|20756|20757	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>7阶2星</color><color=#ff8400>橙色装备</color></r>
167	4	0	3	灵瑶2星红装	6	8阶装备	20871	20851|20852|20853|20854|20855|20856|20857	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>8阶2星</color><color=#ff8400>橙色装备</color></r>
168	4	0	3	灵瑶2星红装	6	8阶装备	20872	20851|20852|20853|20854|20855|20856|20857	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>8阶2星</color><color=#ff8400>橙色装备</color></r>
169	4	0	3	灵瑶2星红装	6	8阶装备	20873	20851|20852|20853|20854|20855|20856|20857	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>8阶2星</color><color=#ff8400>橙色装备</color></r>
170	4	0	3	灵瑶2星红装	6	8阶装备	20874	20851|20852|20853|20854|20855|20856|20857	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>8阶2星</color><color=#ff8400>橙色装备</color></r>
171	4	0	3	灵瑶2星红装	6	8阶装备	20875	20851|20852|20853|20854|20855|20856|20857	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>8阶2星</color><color=#ff8400>橙色装备</color></r>
172	4	0	3	灵瑶2星红装	6	8阶装备	20876	20851|20852|20853|20854|20855|20856|20857	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>8阶2星</color><color=#ff8400>橙色装备</color></r>
173	4	0	3	灵瑶2星红装	6	8阶装备	20877	20851|20852|20853|20854|20855|20856|20857	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>8阶2星</color><color=#ff8400>橙色装备</color></r>
174	4	500	3	灵瑶2星红装	7	9阶装备	20971	20951|20952|20953|20954|20955|20956|20957	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>9阶2星</color><color=#ff8400>橙色装备</color></r>
175	4	500	3	灵瑶2星红装	7	9阶装备	20972	20951|20952|20953|20954|20955|20956|20957	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>9阶2星</color><color=#ff8400>橙色装备</color></r>
176	4	500	3	灵瑶2星红装	7	9阶装备	20973	20951|20952|20953|20954|20955|20956|20957	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>9阶2星</color><color=#ff8400>橙色装备</color></r>
177	4	500	3	灵瑶2星红装	7	9阶装备	20974	20951|20952|20953|20954|20955|20956|20957	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>9阶2星</color><color=#ff8400>橙色装备</color></r>
178	4	500	3	灵瑶2星红装	7	9阶装备	20975	20951|20952|20953|20954|20955|20956|20957	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>9阶2星</color><color=#ff8400>橙色装备</color></r>
179	4	500	3	灵瑶2星红装	7	9阶装备	20976	20951|20952|20953|20954|20955|20956|20957	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>9阶2星</color><color=#ff8400>橙色装备</color></r>
180	4	500	3	灵瑶2星红装	7	9阶装备	20977	20951|20952|20953|20954|20955|20956|20957	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>9阶2星</color><color=#ff8400>橙色装备</color></r>
181	4	500	3	灵瑶2星红装	8	10阶装备	21071	21051|21052|21053|21054|21055|21056|21057	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>10阶2星</color><color=#ff8400>橙色装备</color></r>
182	4	500	3	灵瑶2星红装	8	10阶装备	21072	21051|21052|21053|21054|21055|21056|21057	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>10阶2星</color><color=#ff8400>橙色装备</color></r>
183	4	500	3	灵瑶2星红装	8	10阶装备	21073	21051|21052|21053|21054|21055|21056|21057	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>10阶2星</color><color=#ff8400>橙色装备</color></r>
184	4	500	3	灵瑶2星红装	8	10阶装备	21074	21051|21052|21053|21054|21055|21056|21057	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>10阶2星</color><color=#ff8400>橙色装备</color></r>
185	4	500	3	灵瑶2星红装	8	10阶装备	21075	21051|21052|21053|21054|21055|21056|21057	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>10阶2星</color><color=#ff8400>橙色装备</color></r>
186	4	500	3	灵瑶2星红装	8	10阶装备	21076	21051|21052|21053|21054|21055|21056|21057	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>10阶2星</color><color=#ff8400>橙色装备</color></r>
187	4	500	3	灵瑶2星红装	8	10阶装备	21077	21051|21052|21053|21054|21055|21056|21057	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>10阶2星</color><color=#ff8400>橙色装备</color></r>
188	4	500	3	灵瑶2星红装	9	11阶装备	21171	21151|21152|21153|21154|21155|21156|21157	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>11阶2星</color><color=#ff8400>橙色装备</color></r>
189	4	500	3	灵瑶2星红装	9	11阶装备	21172	21151|21152|21153|21154|21155|21156|21157	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>11阶2星</color><color=#ff8400>橙色装备</color></r>
190	4	500	3	灵瑶2星红装	9	11阶装备	21173	21151|21152|21153|21154|21155|21156|21157	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>11阶2星</color><color=#ff8400>橙色装备</color></r>
191	4	500	3	灵瑶2星红装	9	11阶装备	21174	21151|21152|21153|21154|21155|21156|21157	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>11阶2星</color><color=#ff8400>橙色装备</color></r>
192	4	500	3	灵瑶2星红装	9	11阶装备	21175	21151|21152|21153|21154|21155|21156|21157	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>11阶2星</color><color=#ff8400>橙色装备</color></r>
193	4	500	3	灵瑶2星红装	9	11阶装备	21176	21151|21152|21153|21154|21155|21156|21157	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>11阶2星</color><color=#ff8400>橙色装备</color></r>
194	4	500	3	灵瑶2星红装	9	11阶装备	21177	21151|21152|21153|21154|21155|21156|21157	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>11阶2星</color><color=#ff8400>橙色装备</color></r>
195	4	0	4	灵瑶3星红装	1	4阶装备	20481	20471|20472|20473|20474|20475|20476|20477	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>4阶2星</color><color=#fa0101>红色装备</color></r>
196	4	0	4	灵瑶3星红装	1	4阶装备	20482	20471|20472|20473|20474|20475|20476|20477	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>4阶2星</color><color=#fa0101>红色装备</color></r>
197	4	0	4	灵瑶3星红装	1	4阶装备	20483	20471|20472|20473|20474|20475|20476|20477	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>4阶2星</color><color=#fa0101>红色装备</color></r>
198	4	0	4	灵瑶3星红装	1	4阶装备	20484	20471|20472|20473|20474|20475|20476|20477	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>4阶2星</color><color=#fa0101>红色装备</color></r>
199	4	0	4	灵瑶3星红装	1	4阶装备	20485	20471|20472|20473|20474|20475|20476|20477	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>4阶2星</color><color=#fa0101>红色装备</color></r>
200	4	0	4	灵瑶3星红装	1	4阶装备	20486	20471|20472|20473|20474|20475|20476|20477	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>4阶2星</color><color=#fa0101>红色装备</color></r>
201	4	0	4	灵瑶3星红装	1	4阶装备	20487	20471|20472|20473|20474|20475|20476|20477	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>4阶2星</color><color=#fa0101>红色装备</color></r>
202	4	0	4	灵瑶3星红装	2	5阶装备	20581	20571|20572|20573|20574|20575|20576|20577	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>5阶2星</color><color=#fa0101>红色装备</color></r>
203	4	0	4	灵瑶3星红装	2	5阶装备	20582	20571|20572|20573|20574|20575|20576|20577	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>5阶2星</color><color=#fa0101>红色装备</color></r>
204	4	0	4	灵瑶3星红装	2	5阶装备	20583	20571|20572|20573|20574|20575|20576|20577	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>5阶2星</color><color=#fa0101>红色装备</color></r>
205	4	0	4	灵瑶3星红装	2	5阶装备	20584	20571|20572|20573|20574|20575|20576|20577	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>5阶2星</color><color=#fa0101>红色装备</color></r>
206	4	0	4	灵瑶3星红装	2	5阶装备	20585	20571|20572|20573|20574|20575|20576|20577	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>5阶2星</color><color=#fa0101>红色装备</color></r>
207	4	0	4	灵瑶3星红装	2	5阶装备	20586	20571|20572|20573|20574|20575|20576|20577	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>5阶2星</color><color=#fa0101>红色装备</color></r>
208	4	0	4	灵瑶3星红装	2	5阶装备	20587	20571|20572|20573|20574|20575|20576|20577	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>5阶2星</color><color=#fa0101>红色装备</color></r>
209	4	0	4	灵瑶3星红装	3	6阶装备	20681	20671|20672|20673|20674|20675|20676|20677	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>6阶2星</color><color=#fa0101>红色装备</color></r>
210	4	0	4	灵瑶3星红装	3	6阶装备	20682	20671|20672|20673|20674|20675|20676|20677	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>6阶2星</color><color=#fa0101>红色装备</color></r>
211	4	0	4	灵瑶3星红装	3	6阶装备	20683	20671|20672|20673|20674|20675|20676|20677	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>6阶2星</color><color=#fa0101>红色装备</color></r>
212	4	0	4	灵瑶3星红装	3	6阶装备	20684	20671|20672|20673|20674|20675|20676|20677	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>6阶2星</color><color=#fa0101>红色装备</color></r>
213	4	0	4	灵瑶3星红装	3	6阶装备	20685	20671|20672|20673|20674|20675|20676|20677	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>6阶2星</color><color=#fa0101>红色装备</color></r>
214	4	0	4	灵瑶3星红装	3	6阶装备	20686	20671|20672|20673|20674|20675|20676|20677	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>6阶2星</color><color=#fa0101>红色装备</color></r>
215	4	0	4	灵瑶3星红装	3	6阶装备	20687	20671|20672|20673|20674|20675|20676|20677	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>6阶2星</color><color=#fa0101>红色装备</color></r>
216	4	0	4	灵瑶3星红装	4	7阶装备	20781	20771|20772|20773|20774|20775|20776|20777	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>7阶2星</color><color=#fa0101>红色装备</color></r>
217	4	0	4	灵瑶3星红装	4	7阶装备	20782	20771|20772|20773|20774|20775|20776|20777	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>7阶2星</color><color=#fa0101>红色装备</color></r>
218	4	0	4	灵瑶3星红装	4	7阶装备	20783	20771|20772|20773|20774|20775|20776|20777	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>7阶2星</color><color=#fa0101>红色装备</color></r>
219	4	0	4	灵瑶3星红装	4	7阶装备	20784	20771|20772|20773|20774|20775|20776|20777	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>7阶2星</color><color=#fa0101>红色装备</color></r>
220	4	0	4	灵瑶3星红装	4	7阶装备	20785	20771|20772|20773|20774|20775|20776|20777	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>7阶2星</color><color=#fa0101>红色装备</color></r>
221	4	0	4	灵瑶3星红装	4	7阶装备	20786	20771|20772|20773|20774|20775|20776|20777	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>7阶2星</color><color=#fa0101>红色装备</color></r>
222	4	0	4	灵瑶3星红装	4	7阶装备	20787	20771|20772|20773|20774|20775|20776|20777	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>7阶2星</color><color=#fa0101>红色装备</color></r>
223	4	0	4	灵瑶3星红装	5	8阶装备	20881	20871|20872|20873|20874|20875|20876|20877	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件灵瑶<color=#3dfb3d>8阶2星</color><color=#fa0101>红色装备</color></r>
