int	int	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string	string	int	string	string	int 	int 	int 	int 	string	int	int	int	int	int[]	string
2117	1	护脉丹	15	0	0	1	1	1	1	0	1	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	<%>	TB_DJ_2117	1	随机炼制以下一种护脉丹</r>护脉丹[仙盟联赛]：+100%生命，持续一场仙盟联赛</r>护脉丹[上古战场]：+100%生命，持续一场上古战场	<%>	0	0	0	0	ItemInfoPanel	1	1	0	0	0	丹药
2118	1	聚灵丹	15	0	0	1	1	1	1	0	1	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	<%>	TB_DJ_2118	1	随机炼制以下一种聚灵丹</r>聚灵丹[仙界秘境]：+50%杀怪经验，持续一次仙界秘境</r>聚灵丹[守卫人皇]：+50%杀怪经验，持续一次守卫人皇	<%>	0	0	0	0	ItemInfoPanel	1	1	0	0	0	丹药
2119	1	嗜血丹	15	0	0	1	1	1	1	0	1	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	<%>	TB_DJ_2116	1	随机炼制以下一种嗜血丹</r>嗜血丹[守卫人皇]：+50%伤害，持续一次守卫人皇</r>嗜血丹[仙界秘境]：+50%伤害，持续一次仙界秘境</r>嗜血丹[仙盟联赛]：+100%伤害，持续一场仙盟联赛	<%>	0	0	0	0	ItemInfoPanel	1	1	0	0	0	丹药
2120	1	聚灵丹	15	0	0	1	1	1	1	0	1	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	<%>	wp_jld1	1	随机炼制以下一种聚灵丹</r>聚灵丹[仙界秘境]：+100%杀怪经验，持续一次仙界秘境</r>聚灵丹[守卫人皇]：+100%杀怪经验，持续一次守卫人皇	<%>	0	0	0	0	ItemInfoPanel	1	1	0	0	0	丹药
2121	1	昊元丹	15	0	0	1	1	1	1	0	1	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	TB_DJ_2121	1	随机炼制以下一种昊元丹</r>昊元丹[300级]：<color=#35e122>300级前</color>使用可提升1级</r>昊元丹[400级]：<color=#35e122>400级前</color>使用可提升1级</r>昊元丹[500级]：<color=#35e122>500级前</color>使用可提升1级	<%>	0	0	0	0	ItemInfoPanel	1	1	0	0	0	丹药
2122	1	龙凤镯	53	0	0	1	1	1	1	0	1	0	0	1	0	5	0	232	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	TB_DJ_2122	1	获得后自动使用，解封天赐法宝<color=#35e122>龙凤镯</color>	<%>	0	0	0	0	ItemInfoPanel	1	1	0	0	0	法宝
2123	1	轩辕剑	53	0	0	1	1	1	1	0	1	0	0	1	0	5	0	232	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	TB_DJ_2123	1	获得后自动使用，解封天赐法宝<color=#35e122>轩辕剑</color>	<%>	0	0	0	0	ItemInfoPanel	1	1	0	0	0	法宝
2124	1	驭灵卷	53	0	0	1	1	1	1	0	1	0	0	1	0	5	0	232	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	TB_DJ_2124	1	获得后自动使用，解封天赐法宝<color=#35e122>驭灵卷</color>	<%>	0	0	0	0	ItemInfoPanel	1	1	0	0	0	法宝
2125	1	随机炼丹材料	45	0	0	1	1	1	1	0	1	0	0	1	0	5	0	232	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	<%>	LianDanIcon_a	1	每分解10件装备，可在以下5个基础炼丹材料中随机获得一个：<color=#35e122></r>兑金</r>巽木</r>坎水</r>离火</r>垠土</color>	<%>	0	0	0	0	ItemInfoPanel	1	1	0	0	0	炼丹材料
2126	1	增灵散	15	0	0	1	1	1	1	0	1	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	<%>	TB_DJ_2126	1	随机炼制以下一种增灵散</r>增灵散[生命]：生命 +100</r>增灵散[攻击]：攻击 +5	<%>	0	0	0	0	ItemInfoPanel	1	1	0	0	0	丹药
2127	1	强效增灵散	15	0	0	1	1	1	1	0	1	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	<%>	TB_DJ_2127	1	随机炼制以下一种强效增灵散</r>强效增灵散[生命]：生命 +200</r>强效增灵散[攻击]：攻击 +10	<%>	0	0	0	0	ItemInfoPanel	1	1	0	0	0	丹药
2128	1	培元丹	15	0	0	1	1	1	1	0	1	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	<%>	TB_DJ_2128	1	随机炼制以下一种培元丹</r>培元丹[生命]：生命 +500</r>培元丹[攻击]：攻击 +25	<%>	0	0	0	0	ItemInfoPanel	1	1	0	0	0	丹药
2129	1	培元丹	15	0	0	1	1	1	1	0	1	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	<%>	TB_DJ_2128	1	随机炼制以下一种培元丹</r>培元丹[真实伤害]：真实伤害 +25</r>培元丹[真实抵御]：真实抵御 +25	<%>	0	0	0	0	ItemInfoPanel	1	1	0	0	0	丹药
2130	1	玄龙丹	15	0	0	1	1	1	1	0	1	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	<%>	TB_DJ_4687	1	随机炼制以下一种玄龙丹</r>玄龙丹[人级]：生命 +1200，攻击 +60</r>玄龙丹[地级]：生命 +1800，攻击 +90</r>玄龙丹[天级]：生命 +7200，攻击 +360	<%>	0	0	0	0	ItemInfoPanel	1	1	0	0	0	丹药
2131	1	神速丹	15	0	0	1	1	1	1	0	1	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	<%>	TB_DJ_4687	1	随机炼制以下一种神速丹</r>神速丹[初级]：攻速 +25，持续30分钟</r>神速丹[高级]：攻速 +50，持续30分钟	<%>	0	0	0	0	ItemInfoPanel	1	1	0	0	0	丹药
2200	1	生命神兵石宝箱	81	0	0	999	1	1	0	0	1	0	0	160	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	<%>	TB_DJ_2200	1	开启宝箱获得：</r><color=#35e122>初级生命神兵石*10</r>中极生命神兵石*5</r>高级生命神兵石*2</color></r><color=#31cefb>【110级开启神兵系统】</color>	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2201	1	攻击神兵石宝箱	81	0	0	999	1	1	0	0	1	0	0	160	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	<%>	TB_DJ_2201	2	开启宝箱获得：</r><color=#35e122>初级攻击神兵石*4</r>中级攻击神兵石*1</r>高级攻击神兵石*1</color></r><color=#31cefb>【110级开启神兵系统】</color>	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2202	1	符印精华超值宝箱	81	0	0	999	1	1	0	0	1	0	0	140	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_4	3	开启宝箱获得：</r><color=#35e122>红色符印精华*8</r></color></r><color=#31cefb>【60级开启符印系统】</color>	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2203	1	洗练宝箱	81	0	0	999	1	1	0	0	1	0	0	100	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_1	3	开启宝箱获得：</r><color=#35e122>洗练石*100</color></r>装备洗练的必要材料，可为装备增加最多3条洗练属性</r><color=#31cefb>【240级开启洗练系统】</color>	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2204	1	潜力宝箱	81	0	0	999	1	1	0	0	1	0	0	150	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_1	1	开启宝箱必定获得：</r><color=#35e122>500万潜力</r></color>可选择获得以下两个物品中的一个<color=#35e122></r>顶级溶彩石*10</r>高级溶彩石*30</color></r><color=#31cefb>【190级开启潜力提升系统】</color>	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2205	1	套装石宝箱	81	0	0	999	1	1	0	0	1	0	0	200	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_1	2		<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2206	1	超值铜钱礼包	81	0	0	999	1	1	0	0	1	0	0	100	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	20	0	0	0	<%>	Wp_Copper3	3	开启宝箱获得：</r><color=#35e122>2000万铜钱</color></r>	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		礼包
2207	1	护法礼包	81	0	0	999	1	1	0	0	1	0	0	100	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_3	3	开启宝箱获得<color=#35e122>3</color>个初级生命神兵石	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		礼包
2208	1	橙色符印选择宝箱	81	0	0	999	1	1	0	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_1	1	打开后可从以下符印中选择一枚：</r><color=#35e122>攻击、生命、庇佑、克敌</color>	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2209	1	红色符印选择宝箱	81	0	0	999	1	1	0	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_1	2	打开后可从以下符印中选择一枚：</r><color=#35e122>聚灵、疾风、永生、破军</color>	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2210	1	属性果实礼包	81	0	0	999	1	1	0	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_1	2	开启宝箱后获：</r><color=#35e122>力量果实</r>身法果实</r>灵力果实</r>体质果实</color></r>	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		礼包
2211	1	天机宝箱	81	0	0	999	1	1	0	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	<%>	TB_DJ_2211	1	开启后随机获得以下一种炼丹材料：</r><color=#35e122>兑金</r>巽木</r>坎水</r>离火</r>垠土</color>	<%>	0	0	0	0	BoxInfoWin	1	1	2	0		宝箱
2212	1	洗点礼包	81	0	0	999	1	1	0	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_3	2		<%>	0	0	0	0	BoxInfoWin	1	1	0	0		礼包
2213	1	炼丹材料大礼包	81	0	0	999	1	1	0	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_3	2	开启宝箱获得：</r><color=#35e122>兑金、离火、坎水、垠土、巽木</color>	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		礼包
2214	1	上古战场积分宝箱	81	0	0	999	1	1	0	0	1	0	0	160	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_1	1	开启宝箱随机获得<color=#35e122>18-24</color>个炼丹材料</r></r><color=#31cefb>获取途径:</color></r>上古战场积分最高的玩家	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2215	1	上古战场积分宝箱	81	0	0	999	1	1	0	0	1	0	0	160	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_1	2	开启宝箱随机获得<color=#35e122>16-20</color>个炼丹材料</r></r><color=#31cefb>获取途径:</color></r>上古战场积分达到2000	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2216	1	上古战场积分宝箱	81	0	0	999	1	1	0	0	1	0	0	140	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_1	3	开启宝箱随机获得<color=#35e122>12-16</color>个炼丹材料</r></r><color=#31cefb>获取途径:</color></r>上古战场积分达到1000	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2217	1	上古战场积分宝箱	81	0	0	999	1	1	0	0	1	0	0	100	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_1	3	开启宝箱随机获得<color=#35e122>11-15</color>个炼丹材料</r></r><color=#31cefb>获取途径:</color></r>上古战场积分达到600	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2218	1	上古战场积分宝箱	81	0	0	999	1	1	0	0	1	0	0	150	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_1	1	开启宝箱随机获得<color=#35e122>8-12</color>个炼丹材料</r></r><color=#31cefb>获取途径:</color></r>上古战场积分达到300	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2219	1	上古战场成就宝箱	81	0	0	999	1	1	0	0	1	0	0	200	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_2	2	开启宝箱随机获得<color=#35e122>4-6</color>个炼丹材料</r></r><color=#31cefb>获取途径:</color></r>上古战场成就达成奖励	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2220	1	上古战场成就宝箱	81	0	0	999	1	1	0	0	1	0	0	100	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_2	3	开启宝箱必定获得：</r><color=#35e122>巽风*1</color></r>额外随机获得<color=#35e122>4-6</color>个炼丹材料</r></r><color=#31cefb>获取途径:</color></r>上古战场成就达成奖励	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2221	1	上古战场成就宝箱	81	0	0	999	1	1	0	0	1	0	0	100	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_2	3	开启宝箱必定获得：</r><color=#35e122>阴魄*1</color></r>额外随机获得<color=#35e122>4-6</color>个炼丹材料</r></r><color=#31cefb>获取途径:</color></r>上古战场成就达成奖励	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2222	1	上古战场成就宝箱	81	0	0	999	1	1	0	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_2	1	开启宝箱必定获得：</r><color=#35e122>龙鳞*1</color></r>额外随机获得<color=#35e122>4-6</color>个炼丹材料</r></r><color=#31cefb>获取途径:</color></r>上古战场成就达成奖励	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2223	1	上古战场成就宝箱	81	0	0	999	1	1	0	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_2	2	开启宝箱必定获得：</r><color=#35e122>阳精*1</color></r>额外随机获得<color=#35e122>4-6</color>个炼丹材料</r></r><color=#31cefb>获取途径:</color></r>上古战场成就达成奖励	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2224	1	5阶3星红色腰带宝箱	81	0	0	999	1	1	0	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_2	2	开启宝箱后根据职业获得：</r><color=#35e122>5阶3星红色腰带</color>	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2225	1	5阶3星红色鞋履宝箱	81	0	0	999	1	1	0	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_2	2	开启宝箱后根据职业获得：</r><color=#35e122>5阶3星红色鞋履</color>	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2226	1	5阶3星红色帽子宝箱	81	0	0	999	1	1	0	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_2	2	开启宝箱后根据职业获得：</r><color=#35e122>5阶3星红色帽子</color>	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2227	1	5阶3星红色下装宝箱	81	0	0	999	1	1	0	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_2	2	开启宝箱后根据职业获得：</r><color=#35e122>5阶3星红色下装</color>	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2228	1	5阶3星红色衣袍宝箱	81	0	0	999	1	1	0	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_2	2	开启宝箱后根据职业获得：</r><color=#35e122>5阶3星红色衣袍</color>	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2229	1	5阶2星红色腰带宝箱	81	0	0	999	1	1	0	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_2	2	开启宝箱后根据职业获得：</r><color=#35e122>5阶2星红色腰带</color>	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2230	1	5阶2星红色鞋履宝箱	81	0	0	999	1	1	0	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_2	2	开启宝箱后根据职业获得：</r><color=#35e122>5阶2星红色鞋履</color>	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2231	1	5阶2星红色帽子宝箱	81	0	0	999	1	1	0	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_2	2	开启宝箱后根据职业获得：</r><color=#35e122>5阶2星红色帽子</color>	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2232	1	5阶2星红色下装宝箱	81	0	0	999	1	1	0	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_2	2	开启宝箱后根据职业获得：</r><color=#35e122>5阶2星红色下装</color>	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2233	1	5阶2星红色衣袍宝箱	81	0	0	999	1	1	0	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_2	2	开启宝箱后根据职业获得：</r><color=#35e122>5阶2星红色衣袍</color>	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2234	1	5阶1星红色腰带宝箱	81	0	0	999	1	1	0	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_2	2	开启宝箱后根据职业获得：</r><color=#35e122>5阶1星红色腰带</color>	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2235	1	5阶1星红色鞋履宝箱	81	0	0	999	1	1	0	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_2	2	开启宝箱后根据职业获得：</r><color=#35e122>5阶1星红色鞋履</color>	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2236	1	5阶1星红色帽子宝箱	81	0	0	999	1	1	0	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_2	2	开启宝箱后根据职业获得：</r><color=#35e122>5阶1星红色帽子</color>	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2237	1	5阶1星红色下装宝箱	81	0	0	999	1	1	0	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_2	2	开启宝箱后根据职业获得：</r><color=#35e122>5阶1星红色下装</color>	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2238	1	5阶1星红色衣袍宝箱	81	0	0	999	1	1	0	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_2	2	开启宝箱后根据职业获得：</r><color=#35e122>5阶1星红色衣袍</color>	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2240	1	3阶1星红色副手宝箱	81	0	0	999	1	1	0	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_2	2	开启宝箱后根据职业获得：</r><color=#35e122>3阶1星红色副手</color>	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2241	1	紫色符印选择宝箱	81	0	0	999	1	1	0	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_2	2	打开后可从以下符印中选择一枚：</r><color=#35e122>攻击、生命、狂怒、水御</color>	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2242	1	4阶1星红色副手宝箱	81	0	0	999	1	1	0	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_2	2	开启宝箱后根据职业获得：</r><color=#35e122>4阶1星红色副手</color>	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2250	1	活跃测试礼包	81	0	0	999	100	1	0	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_2	2	开启宝箱后获得300仙玉充值卡	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2251	1	活跃测试礼包	81	0	0	999	120	1	0	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_2	2	开启宝箱后获得300仙玉充值卡	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2252	1	活跃测试礼包	81	0	0	999	140	1	0	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_2	2	开启宝箱后获得400仙玉充值卡	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2253	1	活跃测试礼包	81	0	0	999	160	1	0	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_2	2	开启宝箱后获得1000仙玉充值卡	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2254	1	活跃测试礼包	81	0	0	999	180	1	0	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_2	2	开启宝箱后获得2000仙玉充值卡	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2255	1	活跃测试礼包	81	0	0	999	200	1	0	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_2	2	开启宝箱后获得3000仙玉充值卡	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2256	1	活跃测试礼包	81	0	0	999	210	1	0	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_2	2	开启宝箱后获得3000仙玉充值卡	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
2257	1	活跃测试礼包	81	0	0	999	220	1	0	0	1	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	wp_bx_2	2	开启宝箱后获得3500仙玉充值卡	<%>	0	0	0	0	BoxInfoWin	1	1	0	0		宝箱
