int	string	string	int	int	int	int	string
50701	skill	zs_Skill8_1	1	0	0	0	
50800	skill	Zs_Skill9_2	1	0	0	1	
50902	skill	Zs_Skill10	4	0	0	0	
50900	skill	Zs_Skill11	4	0	0	0	
50135	skill	Zs_Skill12	1	0	0	0	
50335	skill	Zs_Skill13	1	0	0	0	
200	dsskill1	Fs_Attack01	2	0	0	0	
201	dsskill1	Fs_Attack02	2	0	0	0	
202	dsskill1	Fs_Attack03	2	0	0	0	
203	dsskill1	Fs_Attack04_1	2	0	0	0	
55000	dsskill1	Fs_Skill2	2	0	0	0	
55100	dsskill1	Fs_Skill1_2	2	0	0	1	
55200	dsskill	Fs_Skill3	2	0	0	0	
55300	dsskill	Fs_Skill4	2	0	0	1	
55301	dsskill	Fs_Skill4_2	2	0	0	0	
55400	dsskill1	Fs_Skill5_2	2	0	0	0	
50401	Common1	SuiShen	0	0	0	1	
55500	dsskill	Fs_Skill6	2	0	0	1	
55600	dsskill	Fs_Skill7_1	2	0	0	1	
55601	dsskill	Fs_Skill7_2	2	0	0	1	
55700	dsskill	Fs_Skill8	2	0	0	1	
55800	dsskill	Effect_Fs_Skill9_2	2	0	0	0	
55135	dsskill	Fs_Skill12	2	0	0	0	
55335	dsskill	Fs_Skill13	2	0	0	0	
10008	debuff1	xuanyun	0	0	0	1	
51000	debuff	bleeding	0	0	0	1	
51001	debuff1	slowing	0	0	0	1	
51002	debuff	poisoning	0	0	0	1	
51003	debuff	burn	0	0	0	1	
51004	debuff	Effect_buff_bingdong	0	0	0	1	
51005	debuff	Effect_buff_dingshen	0	0	0	1	
51006	debuff	Effect_buff_jinmo	0	0	0	1	
51007	debuff	Effect_buff_shiming	0	0	0	1	
51008	debuff	Effect_buff_jianfang	0	0	0	1	
51009	debuff	bantherapy	0	0	0	1	
51010	debuff	Effect_buff_chaofeng	0	0	0	1	
51011	debuff	Effect_bossbuff_gongsu_m	0	0	0	1	
51012	debuff1	Effect_bossbuff_fangyuzhao	0	0	0	1	
51013	debuff	Effect_bossbuff_wudi	0	0	0	1	
51014	debuff	Effect_bossbuff_gongsu	0	0	0	1	
51015	debuff	Effect_buff_kuangbao	0	0	0	1	
51016	debuff	Effect_buff_jiasu	0	0	0	1	
51017	debuff	Effect_buff_beidong	0	0	0	1	
51018	debuff	Effect_buff_didang	0	0	0	1	
51019	debuff	Effect_buff_jiechu 	0	0	0	1	
52001	BossSkill1	Effect_bossskill_yunshi	0	0	0	0	
52002	BossSkill1	Effect_bossskill_shandian	0	0	0	0	
52003	BossSkill1	Effect_bossskill_ranshaoquan	0	0	0	0	
52004	BossSkill	Effect_M029_Skill	0	0	0	1	
23001	ui	Effect_buff_GongJiLiJC	0	0	0	1	
23003	ui	Effect_buff_JiaFang	0	0	0	1	
999989	skill1	WarnEffectStraight	0	0	0	0	
999990	skill1	WarnEffectCircular	0	0	0	0	
999991	skill	Warning_Blew_5	0	0	0	1	
999992	BossSkill1	M078Skill	0	0	0	0	
999993	BossSkill	Blew_1	0	0	0	0	
999995	BossSkill	Blood_1_1	0	0	0	0	
999997	Common1	XuanZ_Lv	0	0	0	1	
999998	Common1	XuanZ_H	0	0	0	1	
999999	Common1	Shadow	0	0	0	1	
80000	Npc1	Effect_N002_01	0	0	0	1	Bip001 Prop1
80001	Npc	Effect_M709_Neck	0	0	0	1	Bip001 Neck
