int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
244	5080	5080	144100	334550	50859	66910	6004	12008	51185	4811	94183	94183	144100	334550	136861	50859	29	192133	57639
245	5100	5100	146880	339026	51932	67805	6120	12240	51608	4930	95938	95938	146880	339026	138692	51932	29	195840	58752
246	5120	5120	149031	342900	52641	68580	6210	12419	51821	5029	97378	97378	149031	342900	140277	52641	29	198708	59612
247	5140	5140	151104	346215	53482	69243	6296	12592	52243	5125	98659	98659	151104	346215	141633	53482	29	201472	60441
248	5160	5160	152786	349396	54139	69879	6366	12732	52422	5209	99716	99716	152786	349396	142934	54139	29	203715	61114
249	5180	5180	154740	352380	55053	70476	6448	12895	52883	5303	100844	100844	154740	352380	144155	55053	29	206320	61896
250	5200	5200	156545	358414	55879	71683	6523	13045	53064	5393	101898	101898	156545	358414	146623	55879	29	208727	62618
251	5220	5220	157786	364158	56066	72832	6574	13149	53487	5464	102876	102876	157786	364158	148973	56066	29	210381	63114
252	5240	5240	159321	371028	56628	74206	6638	13277	53705	5545	103866	103866	159321	371028	151784	56628	29	212428	63728
253	5260	5260	160294	376528	56970	75306	6679	13358	54137	5607	104503	104503	160294	376528	154034	56970	29	213725	64117
254	5280	5280	161147	382629	57113	76526	6714	13429	54356	5665	105166	105166	161147	382629	156530	57113	29	214863	64458
255	5300	5300	162331	388878	57478	77776	6764	13528	54786	5736	105975	105975	162331	388878	159086	57478	29	216442	64932
256	5320	5320	163783	395721	57887	79144	6824	13649	54972	5816	106993	106993	163783	395721	161885	57887	29	218378	65513
257	5340	5340	165060	402331	58363	80466	6878	13755	55441	5890	107811	107811	165060	402331	164589	58363	29	220080	66024
258	5360	5360	165784	407999	58573	81600	6908	13815	55628	5946	108314	108314	165784	407999	166908	58573	29	221045	66313
259	5380	5380	167920	415881	59116	83176	6997	13993	56101	6052	109850	109850	167920	415881	170133	59116	29	223893	67167
260	5400	5400	169245	422338	59305	84468	7052	14104	56539	6129	110903	110903	169245	422338	172774	59305	29	225660	67697
261	5420	5420	170430	429107	59738	85821	7101	14202	56728	6203	111667	111667	170430	429107	175543	59738	29	227240	68171
262	5440	5440	172530	437454	60438	87491	7189	14377	57207	6309	113067	113067	172530	437454	178958	60438	29	230040	69011
263	5460	5460	173895	444191	60716	88838	7246	14491	57398	6390	114095	114095	173895	444191	181714	60716	29	231860	69558
264	5480	5480	176731	454204	61395	90841	7364	14728	57875	6526	116164	116164	176731	454204	185810	61395	29	235642	70692
265	5500	5500	180551	465957	62340	93191	7523	15046	58322	6698	118929	118929	180551	465957	190618	62340	29	240735	72220
266	5520	5520	183215	475456	63064	95091	7634	15268	58553	6830	120815	120815	183215	475456	194504	63064	29	244287	73286
267	5540	5540	185720	485805	63709	97161	7738	15477	58998	6956	122611	122611	185720	485805	198738	63709	29	247626	74287
268	5560	5560	187980	495584	64310	99117	7832	15665	59484	7074	124219	124219	187980	495584	202738	64310	29	250639	75191
269	5580	5580	190145	505276	64867	101055	7923	15845	59680	7189	125773	125773	190145	505276	206703	64867	29	253527	76058
270	5600	5600	193153	515450	65758	103090	8048	16096	60130	7337	127852	127852	193153	515450	210865	65758	29	257537	77261
271	5620	5620	195776	525565	66472	105113	8157	16315	60616	7471	129707	129707	195776	525565	215003	66472	29	261034	78310
272	5640	5640	198282	535053	67159	107011	8262	16523	61071	7601	131477	131477	198282	535053	218885	67159	29	264376	79312
273	5660	5660	200006	543455	67668	108691	8334	16667	61310	7703	132670	132670	200006	543455	222322	67668	29	266674	80002
274	5680	5680	202994	553016	68490	110603	8458	16916	61768	7854	134779	134779	202994	553016	226233	68490	29	270659	81197
275	5700	5700	205003	558137	69000	111627	8542	17084	62262	7968	136224	136224	205003	558137	228328	69000	29	273337	82001
276	5720	5720	206733	563868	69599	112774	8614	17228	62724	8072	137362	137362	206733	563868	230673	69599	29	275644	82693
277	5740	5740	209182	570503	70401	114101	8716	17432	63222	8204	139005	139005	209182	570503	233387	70401	29	278909	83672
278	5760	5760	211161	576279	71046	115256	8798	17597	63427	8319	140334	140334	211161	576279	235750	71046	29	281548	84464
279	5780	5780	213972	583513	71827	116703	8915	17831	63929	8468	142312	142312	213972	583513	238710	71827	29	285296	85588
280	5800	5800	216610	590925	72592	118185	9025	18051	64394	8610	144147	144147	216610	590925	241742	72592	29	288813	86643
281	5820	5820	219236	598100	73470	119620	9135	18270	64900	8753	145896	145896	219236	598100	244677	73470	29	292314	87694
282	5840	5840	221653	604619	74169	120924	9236	18471	65369	8889	147578	147578	221653	604619	247344	74169	29	295537	88661
283	5860	5860	224666	612473	75071	122495	9361	18722	65880	9050	149656	149656	224666	612473	250557	75071	29	299555	89866
284	5880	5880	226844	619372	75749	123874	9452	18904	66353	9177	151140	151140	226844	619372	253379	75749	29	302459	90737
285	5900	5900	229848	627608	76876	125522	9577	19154	66606	9340	153058	153058	229848	627608	256748	76876	29	306464	91939
286	5920	5920	231732	634156	77444	126831	9656	19311	67077	9457	154354	154354	231732	634156	259427	77444	29	308976	92692
287	5940	5940	234717	641814	78438	128363	9780	19560	67596	9620	156344	156344	234717	641814	262560	78438	29	312956	93886
288	5960	5960	238035	650229	79322	130046	9918	19836	68118	9798	158705	158705	238035	650229	266002	79322	29	317380	95214
289	5980	5980	240719	657491	80183	131498	10030	20060	68595	9951	160516	160516	240719	657491	268973	80183	29	320958	96287
290	6000	6000	243674	665256	81248	133051	10153	20306	69121	10117	162433	162433	243674	665256	272150	81248	29	324898	97469
291	6020	6020	246045	671928	82134	134386	10252	20504	69603	10258	163951	163951	246045	671928	274879	82134	29	328060	98418
292	6040	6040	256194	692118	83479	138424	10675	21350	70134	10727	172075	172075	256194	692118	283139	83479	29	341593	102477
293	6060	6060	259539	700306	84624	140061	10814	21628	70619	10913	174285	174285	259539	700306	286488	84624	29	346052	103815
294	6080	6080	263272	709356	85769	141871	10970	21939	71149	11116	176839	176839	263272	709356	290191	85769	29	351029	105308
295	6100	6100	261100	707351	87254	141470	10879	21758	71645	11071	173919	173919	261100	707351	289370	87254	29	348133	104439
296	6120	6120	265027	716776	88401	143355	11043	22086	72179	11284	176645	176645	265027	716776	293226	88401	29	353369	106010
297	6140	6140	269067	726286	89573	145257	11211	22422	72673	11503	179455	179455	269067	726286	297116	89573	29	358756	107626
298	6160	6160	273420	736198	90813	147240	11392	22785	73213	11738	182497	182497	273420	736198	301171	90813	29	364559	109367
299	6180	6180	277967	746100	92302	149220	11582	23164	73711	11982	185547	185547	277967	746100	305222	92302	29	370623	111186
300	6200	6200	282365	756154	93590	151231	11765	23530	74260	12222	188597	188597	282365	756154	309335	93590	29	376486	112945
301	6220	6220	286190	764970	94313	152994	11925	23849	74763	12438	191515	191515	286190	764970	312942	94313	29	381586	114475
302	6240	6240	291124	776571	95332	155314	12130	24260	75312	12704	195222	195222	291124	776571	317688	95332	59	388165	116449
303	6260	6260	294851	785918	95989	157184	12285	24571	75863	12918	198097	198097	294851	785918	321511	95989	90	393135	117940
304	6280	6280	299530	795627	96871	159125	12480	24961	76372	13176	201668	201668	299530	795627	325483	96871	122	399373	119812
305	6300	6300	303045	802534	97301	160507	12627	25254	76927	13385	204506	204506	303045	802534	328309	97301	155	404061	121218
306	6320	6320	307803	811005	98207	162201	12825	25650	77209	13595	208131	208131	307803	811005	331774	98207	189	410404	123121
307	6340	6340	312672	819676	99136	163935	13028	26056	77209	13810	211839	211839	312672	819676	335322	99136	224	416896	125068
308	6360	6360	316187	825779	99724	165156	13174	26349	77530	13965	214571	214571	316187	825779	337818	99724	258	421582	126474
309	6380	6380	320373	833201	100404	166640	13349	26698	77807	14150	217840	217840	320373	833201	340855	100404	294	427164	128149
310	6400	6400	324049	839469	101015	167894	13502	27004	78128	14312	220700	220700	324049	839469	343419	101015	331	432065	129619
311	6420	6420	327913	846140	101853	169228	13663	27326	78405	14483	223576	223576	327913	846140	346148	101853	368	437217	131165
312	6440	6440	331285	851933	102464	170387	13804	27607	78727	14632	226165	226165	331285	851933	348517	102464	406	441713	132513
313	6460	6460	334958	858048	103211	171610	13957	27913	79003	14794	228933	228933	334958	858048	351019	103211	445	446611	133983
314	6480	6480	337163	863056	103777	172611	14048	28097	79049	14891	230515	230515	337163	863056	353068	103777	482	449550	134865
315	6500	6500	340608	869799	104683	173960	14192	28384	79332	15044	232974	232974	340608	869799	355826	104683	522	454144	136243
316	6520	6520	343452	874627	105385	174925	14311	28621	79608	15169	235034	235034	343452	874627	357801	105385	561	457936	137380
317	6540	6540	341078	871258	106087	174252	14212	28423	79931	15064	232455	232455	341078	871258	356423	106087	592	454771	136431
318	6560	6560	349959	888490	106721	177698	14582	29163	80208	15457	239927	239927	349959	888490	363473	106721	643	466612	139983
319	6580	6580	354039	896532	107649	179306	14752	29503	80255	15637	242935	242935	354039	896532	366762	107649	666	472052	141615
320	6600	6600	357067	903877	108306	180775	14878	29756	80538	15770	245189	245189	357067	903877	369767	108306	687	476090	142826
321	6620	6620	361829	912897	109325	182579	15076	30152	80815	15981	248742	248742	361829	912897	373457	109325	711	482439	144731
322	6640	6640	364536	920296	109778	184059	15189	30378	81139	16100	250847	250847	364536	920296	376484	109778	732	486048	145814
323	6660	6660	368917	929845	110955	185969	15372	30743	81139	16294	253955	253955	368917	929845	380391	110955	756	491889	147566
324	6680	6680	371818	937632	111363	187526	15492	30985	81416	16422	256262	256262	371818	937632	383576	111363	778	495757	148727
325	6700	6700	375771	945764	112424	189153	15657	31314	81746	16597	259069	259069	375771	945764	386903	112424	802	501028	150308
326	6720	6720	378771	953957	112919	190791	15782	31564	81746	16729	261405	261405	378771	953957	390255	112919	824	505027	151508
327	6740	6740	381864	961666	113731	192333	15911	31822	82024	16866	263613	263613	381864	961666	393408	113731	847	509151	152745
328	6760	6760	385145	968392	114475	193678	16048	32095	82354	17011	266034	266034	385145	968392	396160	114475	871	513527	154058
329	6780	6780	387640	976099	115196	195220	16152	32303	82632	17121	267771	267771	387640	976099	399313	115196	888	516854	155056
330	6800	6800	390400	983853	115940	196771	16267	32533	82680	17243	269728	269728	390400	983853	402485	115940	906	520533	156159
331	6820	6820	392903	990831	116752	198166	16371	32742	82958	17353	271411	271411	392903	990831	405339	116752	924	523870	157161
332	6840	6840	395632	997445	117451	199489	16485	32969	83241	17474	273372	273372	395632	997445	408045	117451	942	527509	158252
333	6860	6860	397452	1003722	118195	200744	16560	33121	83289	17554	274493	274493	397452	1003722	410613	118195	958	529936	158980
334	6880	6880	399761	1011195	118984	202239	16657	33313	83573	17656	276020	276020	399761	1011195	413670	118984	976	533015	159904
335	6900	6900	401570	1016327	119774	203265	16732	33464	83851	17736	277101	277101	401570	1016327	415770	119774	992	535426	160627
336	6920	6920	403567	1023191	120269	204638	16815	33631	83899	17824	278547	278547	403567	1023191	418578	120269	1009	538090	161426
337	6940	6940	406670	1031335	121398	206267	16945	33889	84183	17961	280552	280552	406670	1031335	421909	121398	1029	542227	162668
338	6960	6960	407787	1036427	121847	207285	16991	33982	84461	18011	281246	281246	407787	1036427	423992	121847	1044	543717	163114
339	6980	6980	410895	1044538	122931	208908	17121	34241	84510	18148	283286	283286	410895	1044538	427311	122931	1065	547860	164358
340	7000	7000	412442	1050759	123403	210152	17185	34370	84794	18216	284346	284346	412442	1050759	429856	123403	1081	549923	164976
341	7020	7020	416494	1058101	124854	211620	17354	34708	85078	18395	286980	286980	416494	1058101	432859	124854	1104	555326	166597
342	7040	7040	420543	1066506	126414	213301	17523	35045	85078	18574	289540	289540	420543	1066506	436297	126414	1128	560724	168217
343	7060	7060	424048	1073524	128066	214705	17669	35337	85411	18729	291554	291554	424048	1073524	439168	128066	1150	565397	169619
344	7080	7080	428779	1081213	129837	216243	17866	35732	85411	18938	294578	294578	428779	1081213	442314	129837	1175	571705	171511
345	7100	7100	432743	1087340	131142	217468	18031	36062	85695	19113	297232	297232	432743	1087340	444820	131142	1199	576991	173097
346	7120	7120	440468	1097994	133216	219599	18353	36706	86023	19454	302716	302716	440468	1097994	449179	133216	1234	587291	176187
347	7140	7140	446972	1105820	134763	221164	18624	37248	86023	19741	307467	307467	446972	1105820	452380	134763	1266	595963	178788
348	7160	7160	454037	1115309	136597	223062	18918	37836	86307	20053	312523	312523	454037	1115309	456262	136597	1299	605383	181614
349	7180	7180	462135	1125511	138804	225102	19256	38511	86641	20411	318251	318251	462135	1125511	460436	138804	1336	616180	184854
350	7200	7200	468903	1134241	140519	226848	19538	39075	86641	20710	323123	323123	468903	1134241	464007	140519	1370	625205	187561
351	7220	7220	475118	1142626	141320	228525	19797	39593	86926	20984	328113	328113	475118	1142626	467437	141320	1402	633490	190047
352	7240	7240	482723	1368551	142834	273710	20113	40227	86976	21320	333864	333864	482723	1368551	559861	142834	1439	643631	193089
353	7260	7260	490059	1379382	144494	275876	20419	40838	87266	21644	339278	339278	490059	1379382	564292	144494	1476	653412	196023
354	7280	7280	500434	1392373	146487	278475	20851	41703	87551	22103	347172	347172	500434	1392373	569607	146487	1522	667245	200173
355	7300	7300	503102	1399995	146922	279999	20963	41925	87551	22220	349254	349254	503102	1399995	572725	146922	1545	670803	201240
356	7320	7320	507869	1409416	148778	281883	21161	42322	87886	22431	352254	352254	507869	1409416	576579	148778	1575	677159	203147
357	7340	7340	513485	1418589	150574	283718	21395	42790	87886	22679	356048	356048	513485	1418589	580331	150574	1608	684646	205393
358	7360	7360	518231	1428633	152295	285727	21593	43186	88171	22889	359119	359119	518231	1428633	584440	152295	1639	690974	207292
359	7380	7380	524786	1438772	154421	287754	21866	43732	88222	23178	363529	363529	524786	1438772	588588	154421	1675	699715	209914
360	7400	7400	528343	1446157	155608	289231	22014	44029	88513	23335	365900	365900	528343	1446157	591609	155608	1702	704458	211337
361	7420	7420	530211	1453430	156918	290686	22092	44184	88798	23418	366686	366686	530211	1453430	594584	156918	1724	706948	212084
362	7440	7440	541291	1463032	158850	292606	22554	45108	88798	23907	375247	375247	541291	1463032	598512	158850	1777	721721	216516
363	7460	7460	548741	1470940	160155	294188	22864	45728	89134	24236	380999	380999	548741	1470940	601748	160155	1818	731655	219496
364	7480	7480	570799	1504287	162137	300857	23783	47567	89134	25210	399285	399285	570799	1504287	615390	162137	1908	761065	228319
365	7500	7500	578704	1511954	163403	302391	24113	48225	89425	25559	405467	405467	578704	1511954	618526	163403	1952	771605	231481
366	7520	7520	584685	1517407	164696	303481	24362	48724	89425	25824	409922	409922	584685	1517407	620757	164696	1989	779580	233874
367	7540	7540	593756	1528334	166687	305667	24740	49480	89761	26224	416658	416658	593756	1528334	625227	166687	2038	791674	237502
368	7560	7560	591438	1535355	168011	307071	24643	49286	90052	26122	413714	413714	591438	1535355	628099	168011	2048	788583	236575
369	7580	7580	598862	1542697	169627	308539	24953	49905	90052	26450	419237	419237	598862	1542697	631103	169627	2091	798483	239544
370	7600	7600	608439	1552379	171364	310476	25352	50703	90396	26873	426591	426591	608439	1552379	635064	171364	2143	811252	243375
371	7620	7620	615181	1561547	172392	312309	25633	51265	90396	27170	431899	431899	615181	1561547	638814	172392	2185	820241	246072
372	7640	7640	624270	1576093	174121	315219	26011	52022	90687	27572	438825	438825	624270	1576093	644765	174121	2236	832359	249707
373	7660	7660	630982	1585248	175018	317050	26291	52582	90687	27868	444194	444194	630982	1585248	648510	175018	2279	841310	252392
374	7680	7680	625084	1575934	175933	315187	26045	52090	91025	27608	438341	438341	625084	1575934	644700	175933	2277	833445	250033
375	7700	7700	634887	1591579	177581	318316	26454	52907	91316	28041	445957	445957	634887	1591579	651100	177581	2332	846517	253954
376	7720	7720	641660	1605589	178503	321118	26736	53472	91316	28340	451362	451362	641660	1605589	656831	178503	2376	855547	256664
377	7740	7740	649480	1620912	179716	324182	27062	54123	91607	28685	457504	457504	649480	1620912	663100	179716	2416	865973	259791
378	7760	7760	656956	1639740	181320	327948	27373	54746	91660	29016	463080	463080	656956	1639740	670802	181320	2454	875941	262782
379	7780	7780	664592	1654815	182217	330963	27691	55383	91952	29353	469269	469269	664592	1654815	676969	182217	2494	886122	265836
380	7800	7800	660748	1672238	199858	334448	27531	55062	91952	29183	454093	454093	660748	1672238	684097	199858	2491	880998	264299
381	7820	7820	665522	1688546	200874	337709	27730	55460	92296	29394	457659	457659	665522	1688546	690768	200874	2520	887363	266208
382	7840	7840	671488	1701269	202867	340254	27979	55957	92296	29657	461633	461633	671488	1701269	695973	202867	2554	895317	268595
383	7860	7860	679542	1719996	205020	343999	28314	56629	92588	30013	467357	467357	679542	1719996	703634	205020	2596	906056	271816
384	7880	7880	684223	1737432	205874	347486	28509	57019	92588	30220	470948	470948	684223	1737432	710767	205874	2625	912297	273689
385	7900	7900	688674	1751929	209202	350386	28695	57389	92939	30416	472686	472686	688674	1751929	716698	209202	2653	918232	275469
386	7920	7920	695233	1770035	213431	354007	28968	57936	93231	30706	475697	475697	695233	1770035	724105	213431	2690	926977	278093
387	7940	7940	702349	1783085	218618	356617	29265	58529	93231	31020	478564	478564	702349	1783085	729443	218618	2730	936465	280939
388	7960	7960	707833	1800491	222775	360098	29493	58986	93523	31263	480668	480668	707833	1800491	736564	222775	2763	943777	283133
389	7980	7980	714345	1817763	227204	363553	29764	59529	93576	31550	483503	483503	714345	1817763	743630	227204	2800	952460	285738
390	8000	8000	720489	1832658	232556	366532	30020	60041	93874	31822	485397	485397	720489	1832658	749723	232556	2836	960652	288195
391	8020	8020	729514	1854028	237942	370806	30396	60793	93874	32220	489828	489828	729514	1854028	758465	237942	2884	972685	291805
392	8040	8040	735339	1870702	242959	374140	30639	61278	94166	32477	491661	491661	735339	1870702	765287	242959	2919	980452	294135
393	8060	8060	741959	1886312	249355	377262	30915	61830	94220	32770	493283	493283	741959	1886312	771672	249355	2958	989279	296783
394	8080	8080	748977	1903669	255078	380734	31207	62415	94518	33080	495705	495705	748977	1903669	778773	255078	2998	998636	299590
395	8100	8100	753467	1917755	257532	383551	31394	62789	94518	33278	498060	498060	753467	1917755	784536	257532	3029	1004623	301386
396	8120	8120	757833	1932868	260121	386574	31576	63153	94816	33471	500214	500214	757833	1932868	790718	260121	3059	1010443	303133
397	8140	8140	757235	1996282	259367	399256	31551	63103	95163	33445	500186	500186	757235	1996282	816660	259367	3069	1009647	302894
398	8160	8160	761074	2008834	261329	401767	31711	63423	95163	33614	502291	502291	761074	2008834	821795	261329	3097	1014766	304429
399	8180	8180	780640	2055817	264314	411163	32527	65053	95461	34478	517692	517692	780640	2055817	841015	264314	3190	1040853	312255
400	8200	8200	784183	2072587	266301	414517	32674	65349	95461	34635	519517	519517	784183	2072587	847876	266301	3218	1045577	313673
